B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDWI,NDVI,output1
0.073,0.0722,0.073,0.0704,0.1168,0.1269,0.1347,0.1709,0.1444,0.1473,0.172,0.1514,-0.40139404,0.416494,0
0.073,0.0777,0.0866,0.1042,0.1168,0.1269,0.1347,0.1294,0.1444,0.1473,0.172,0.1514,-0.19814816,0.10787672,0
0.073,0.0823,0.0971,0.1054,0.1297,0.1371,0.1383,0.1291,0.1438,0.1473,0.1643,0.1469,-0.14146772,0.10106606,0
0.073,0.0946,0.1064,0.1176,0.1297,0.1371,0.1383,0.1389,0.1438,0.1473,0.1643,0.1469,-0.13249083,0.083040915,0
0.0775,0.0834,0.1044,0.1064,0.1297,0.1371,0.1383,0.1392,0.1438,0.1542,0.1643,0.1469,-0.14285715,0.13355051,0
0.0775,0.0528,0.0723,0.0716,0.1297,0.1371,0.1383,0.118,0.1438,0.1542,0.1643,0.1469,-0.24014713,0.24472576,0
0.0775,0.0489,0.0702,0.0758,0.1119,0.1187,0.1256,0.1028,0.1342,0.1542,0.1689,0.1397,-0.18843926,0.15117578,0
0.0775,0.0857,0.1042,0.1064,0.1119,0.1187,0.1256,0.1388,0.1342,0.1542,0.1689,0.1397,-0.14238682,0.13213702,0
0.0775,0.0683,0.0836,0.0982,0.1002,0.1106,0.1132,0.1224,0.1343,0.1542,0.1669,0.1521,-0.18834952,0.109700814,0
0.0775,0.0726,0.088,0.0941,0.1002,0.1106,0.1132,0.1201,0.1343,0.1542,0.1669,0.1521,-0.15425277,0.12138189,0
0.084,0.0752,0.0882,0.0961,0.1278,0.1243,0.1367,0.1276,0.1348,0.1922,0.179,0.1518,-0.18257645,0.14081357,0
0.084,0.0912,0.1136,0.1328,0.1278,0.1243,0.1367,0.1546,0.1348,0.1922,0.179,0.1518,-0.15287097,0.07585246,0
0.084,0.1698,0.1986,0.2026,0.1855,0.1989,0.2038,0.2304,0.2032,0.1922,0.2155,0.196,-0.07412588,0.06420322,0
0.084,0.1448,0.1666,0.1986,0.1855,0.1989,0.2038,0.2519,0.2032,0.1922,0.2155,0.196,-0.20382315,0.11831298,0
0.084,0.1148,0.1416,0.167,0.1777,0.186,0.2005,0.2322,0.2079,0.1922,0.2425,0.2114,-0.2423756,0.16332667,0
0.084,0.1024,0.1286,0.1452,0.1777,0.186,0.2005,0.1803,0.2079,0.1922,0.2425,0.2114,-0.16736807,0.10783409,0
0.0682,0.1098,0.1366,0.1626,0.1532,0.1708,0.1691,0.2089,0.1788,0.158,0.2205,0.2102,-0.20926194,0.1246299,0
0.0682,0.0968,0.1324,0.161,0.1532,0.1708,0.1691,0.1954,0.1788,0.158,0.2205,0.2102,-0.19219033,0.09652077,0
0.0682,0.0968,0.1324,0.161,0.1204,0.1349,0.1338,0.1954,0.1485,0.158,0.1863,0.1756,-0.19219033,0.09652077,0
0.0682,0.0643,0.0837,0.0821,0.1204,0.1349,0.1338,0.1093,0.1485,0.158,0.1863,0.1756,-0.1326425,0.1421108,0
0.0682,0.0798,0.0944,0.1076,0.1203,0.1321,0.138,0.1357,0.1552,0.158,0.1968,0.1743,-0.17948717,0.115495265,0
0.0682,0.0855,0.0999,0.114,0.1203,0.1321,0.138,0.1495,0.1552,0.158,0.1968,0.1743,-0.1988773,0.13472486,0
0.0682,0.1,0.1168,0.1296,0.1203,0.1321,0.138,0.1692,0.1552,0.158,0.1968,0.1743,-0.18321678,0.13253012,0
0.0682,0.0881,0.1054,0.114,0.1203,0.1321,0.138,0.1744,0.1552,0.158,0.1968,0.1743,-0.24660471,0.20943135,0
0.0682,0.0601,0.0725,0.0721,0.1151,0.1494,0.167,0.1785,0.1748,0.158,0.1801,0.1477,-0.42231077,0.424581,0
0.0682,0.0467,0.0759,0.0632,0.1151,0.1494,0.167,0.2493,0.1748,0.158,0.1801,0.1477,-0.53321034,0.59552,0
0.0682,0.0457,0.088,0.0639,0.1099,0.1982,0.2127,0.3117,0.2427,0.158,0.1665,0.1147,-0.55966973,0.6597444,0
0.0682,0.0457,0.088,0.0639,0.1099,0.1982,0.2127,0.3117,0.2427,0.158,0.1665,0.1147,-0.55966973,0.6597444,0
0.0477,0.0426,0.0794,0.0564,0.1136,0.242,0.2495,0.2767,0.2776,0.2195,0.1712,0.1028,-0.55405784,0.66136295,0
0.0477,0.0428,0.0811,0.0525,0.1136,0.242,0.2495,0.2789,0.2776,0.2195,0.1712,0.1028,-0.54944444,0.68316233,0
0.0477,0.0422,0.083,0.0531,0.1236,0.2839,0.2954,0.2986,0.3204,0.2195,0.1744,0.1053,-0.5649895,0.6980381,0
0.0477,0.0386,0.0815,0.0486,0.1236,0.2839,0.2954,0.3385,0.3204,0.2195,0.1744,0.1053,-0.61190474,0.7489021,0
0.0477,0.0383,0.0783,0.0379,0.1126,0.3187,0.3541,0.3697,0.3527,0.2195,0.1646,0.0861,-0.6504464,0.8140334,0
0.0477,0.0331,0.0734,0.0339,0.1126,0.3187,0.3541,0.3351,0.3527,0.2195,0.1646,0.0861,-0.6406365,0.81626016,0
0.0284,0.0314,0.0464,0.035,0.0808,0.1832,0.2248,0.2349,0.2416,0.2328,0.1459,0.0806,-0.6701031,0.7406447,0
0.0284,0.0314,0.052,0.0458,0.0808,0.1832,0.2248,0.2832,0.2416,0.2328,0.1459,0.0806,-0.68973744,0.72158056,0
0.0284,0.0314,0.052,0.0458,0.0881,0.2298,0.2662,0.2832,0.3028,0.2328,0.1611,0.088,-0.68973744,0.72158056,0
0.0284,0.0339,0.0516,0.0342,0.0881,0.2298,0.2662,0.2953,0.3028,0.2328,0.1611,0.088,-0.7025079,0.79241276,0
0.039,0.0346,0.0533,0.0421,0.0742,0.2015,0.2457,0.2712,0.2597,0.2284,0.145,0.0763,-0.6714946,0.731248,0
0.039,0.029,0.0434,0.0364,0.0742,0.2015,0.2457,0.2067,0.2597,0.2284,0.145,0.0763,-0.65293884,0.70053476,0
0.039,0.025,0.0415,0.0325,0.0814,0.1739,0.2006,0.2387,0.2281,0.2284,0.1457,0.0877,-0.70378304,0.7603245,0
0.039,0.0445,0.0615,0.0536,0.0814,0.1739,0.2006,0.2287,0.2281,0.2284,0.1457,0.0877,-0.57615435,0.62026215,0
0.039,0.0645,0.0824,0.0846,0.0917,0.1656,0.1848,0.1748,0.2022,0.2284,0.1511,0.1047,-0.35925347,0.3477255,0
0.039,0.0483,0.0645,0.0605,0.0917,0.1656,0.1848,0.1524,0.2022,0.2284,0.1511,0.1047,-0.4052559,0.43165806,0
0.0595,0.0319,0.0505,0.0467,0.099,0.1741,0.1986,0.192,0.2109,0.1873,0.1649,0.122,-0.58350515,0.60871387,0
0.0595,0.0319,0.0505,0.0467,0.099,0.1741,0.1986,0.192,0.2109,0.1873,0.1649,0.122,-0.58350515,0.60871387,0
0.0595,0.0444,0.061,0.0927,0.1054,0.1807,0.2195,0.2404,0.2243,0.1873,0.1758,0.1206,-0.5952223,0.4434104,0
0.0595,0.0611,0.0628,0.1688,0.1054,0.1807,0.2195,0.2442,0.2243,0.1873,0.1758,0.1206,-0.5908795,0.18256661,0
0.0595,0.0667,0.0592,0.0999,0.0673,0.1098,0.1301,0.1983,0.1622,0.1873,0.1491,0.1088,-0.54019415,0.3299799,0
0.0595,0.0422,0.048,0.035,0.0673,0.1098,0.1301,0.1763,0.1622,0.1873,0.1491,0.1088,-0.5720018,0.66871744,0
0.0627,0.0246,0.0344,0.0311,0.0673,0.1098,0.1301,0.1749,0.1622,0.1555,0.1491,0.1088,-0.6712852,0.69805825,0
0.0627,0.0343,0.0447,0.0365,0.0673,0.1098,0.1301,0.2254,0.1622,0.1555,0.1491,0.1088,-0.6690115,0.72126764,0
