Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B11	B12	quality_aot	quality_wvp	quality_cloud_confidence	quality_snow_confidence	quality_scene_classification	view_zenith_mean	view_azimuth_mean	sun_zenith	sun_azimuth	view_zenith_B1	view_azimuth_B1	view_zenith_B2	view_azimuth_B2	view_zenith_B3	view_azimuth_B3	view_zenith_B4	view_azimuth_B4	view_zenith_B5	view_azimuth_B5	view_zenith_B6	view_azimuth_B6	view_zenith_B7	view_azimuth_B7	view_zenith_B8	view_azimuth_B8	view_zenith_B8A	view_azimuth_B8A	view_zenith_B9	view_azimuth_B9	view_zenith_B10	view_azimuth_B10	view_zenith_B11	view_azimuth_B11	view_zenith_B12	view_azimuth_B12	tco3	tcwv	msl	NDWI	NDVI
193.5	7.5	78.19052087060996	29.978917629970468	0.052	0.051	0.0582	0.0415	0.0389	0.0249	0.0225	0.0226	0.0253	0.0561	0.0201	0.0164	0.092	1.265	NaN	NaN	6	6.503149	295.00412	50.1932	164.083	6.60979	299.423	6.38606	288.506	6.41589	291.028	6.45442	293.338	6.47955	294.575	6.508	295.816	6.53934	297.041	6.3994	289.767	6.57393	298.264	6.65118	300.65	6.44065	292.586	6.50221	295.575	6.58052	298.485	21.602472	0.005536609	101355.16	0.44059405	-0.29485175
194.5	7.5	78.1906130375935	29.978917629970468	0.052	0.051	0.0582	0.0415	0.0399	0.0235	0.0248	0.0226	0.0167	0.0561	0.0188	0.0165	0.092	1.265	NaN	NaN	6	6.884944	294.49924	50.1821	164.145	6.98657	298.685	6.77315	288.356	6.80177	290.736	6.83857	292.92	6.86253	294.089	6.88965	295.264	6.91948	296.424	6.78596	289.545	6.95245	297.585	7.02594	299.851	6.82537	292.206	6.88412	295.035	6.95872	297.794	21.602472	0.005536609	101355.16	0.44059405	-0.29485175
195.5	7.5	78.19070520457703	29.978917629970468	0.052	0.0467	0.0593	0.0447	0.0399	0.0235	0.0248	0.026	0.0167	0.0561	0.0188	0.0165	0.092	1.265	NaN	NaN	6	6.884944	294.49924	50.1821	164.145	6.98657	298.685	6.77315	288.356	6.80177	290.736	6.83857	292.92	6.86253	294.089	6.88965	295.264	6.91948	296.424	6.78596	289.545	6.95245	297.585	7.02594	299.851	6.82537	292.206	6.88412	295.035	6.95872	297.794	21.601788	0.005536594	101355.17	0.39038688	-0.26449788
196.5	7.5	78.19079737156056	29.978917629970468	0.052	0.0443	0.0602	0.0464	0.0744	0.0449	0.0481	0.0278	0.0491	0.0561	0.0505	0.0335	0.092	1.265	NaN	NaN	6	6.884944	294.49924	50.1821	164.145	6.98657	298.685	6.77315	288.356	6.80177	290.736	6.83857	292.92	6.86253	294.089	6.88965	295.264	6.91948	296.424	6.78596	289.545	6.95245	297.585	7.02594	299.851	6.82537	292.206	6.88412	295.035	6.95872	297.794	21.6011	0.0055365795	101355.19	0.36818182	-0.25067386
188.5	8.5	78.1900600356923	29.978825462986933	0.0471	0.0463	0.0576	0.0398	0.0363	0.0205	0.0181	0.0242	0.0209	0.0857	0.0243	0.0165	0.092	1.265	NaN	NaN	6	6.503149	295.00412	50.1932	164.083	6.60979	299.423	6.38606	288.506	6.41589	291.028	6.45442	293.338	6.47955	294.575	6.508	295.816	6.53934	297.041	6.3994	289.767	6.57393	298.264	6.65118	300.65	6.44065	292.586	6.50221	295.575	6.58052	298.485	21.605875	0.0055366764	101355.07	0.40831295	-0.24374999
189.5	8.5	78.19015220267583	29.978825462986933	0.0471	0.0451	0.0584	0.0347	0.0363	0.0205	0.0181	0.0242	0.0209	0.0857	0.0243	0.0165	0.092	1.265	NaN	NaN	6	6.503149	295.00412	50.1932	164.083	6.60979	299.423	6.38606	288.506	6.41589	291.028	6.45442	293.338	6.47955	294.575	6.508	295.816	6.53934	297.041	6.3994	289.767	6.57393	298.264	6.65118	300.65	6.44065	292.586	6.50221	295.575	6.58052	298.485	21.60519	0.005536662	101355.086	0.4140436	-0.17826824
190.5	8.5	78.19024436965937	29.978825462986933	0.0471	0.0484	0.0592	0.0361	0.0354	0.0238	0.0266	0.0212	0.0163	0.0857	0.0184	0.0162	0.092	1.265	NaN	NaN	6	6.503149	295.00412	50.1932	164.083	6.60979	299.423	6.38606	288.506	6.41589	291.028	6.45442	293.338	6.47955	294.575	6.508	295.816	6.53934	297.041	6.3994	289.767	6.57393	298.264	6.65118	300.65	6.44065	292.586	6.50221	295.575	6.58052	298.485	21.604506	0.005536647	101355.1	0.47263682	-0.26003492
191.5	8.5	78.1903365366429	29.978825462986933	0.0471	0.0502	0.0614	0.0379	0.0354	0.0238	0.0266	0.0218	0.0163	0.0857	0.0184	0.0162	0.092	1.265	NaN	NaN	6	6.503149	295.00412	50.1932	164.083	6.60979	299.423	6.38606	288.506	6.41589	291.028	6.45442	293.338	6.47955	294.575	6.508	295.816	6.53934	297.041	6.3994	289.767	6.57393	298.264	6.65118	300.65	6.44065	292.586	6.50221	295.575	6.58052	298.485	21.60382	0.0055366326	101355.11	0.47596154	-0.26968175
192.5	8.5	78.19042870362644	29.978825462986933	0.052	0.0469	0.0596	0.0403	0.044	0.0221	0.0222	0.0201	0.0204	0.0561	0.0204	0.0148	0.092	1.265	NaN	NaN	6	6.503149	295.00412	50.1932	164.083	6.60979	299.423	6.38606	288.506	6.41589	291.028	6.45442	293.338	6.47955	294.575	6.508	295.816	6.53934	297.041	6.3994	289.767	6.57393	298.264	6.65118	300.65	6.44065	292.586	6.50221	295.575	6.58052	298.485	21.603134	0.005536618	101355.125	0.49560854	-0.3344371
193.5	8.5	78.19052087060996	29.978825462986933	0.052	0.0469	0.0596	0.0403	0.044	0.0221	0.0222	0.0201	0.0204	0.0561	0.0204	0.0148	0.092	1.265	NaN	NaN	6	6.503149	295.00412	50.1932	164.083	6.60979	299.423	6.38606	288.506	6.41589	291.028	6.45442	293.338	6.47955	294.575	6.508	295.816	6.53934	297.041	6.3994	289.767	6.57393	298.264	6.65118	300.65	6.44065	292.586	6.50221	295.575	6.58052	298.485	21.603134	0.005536618	101355.125	0.49560854	-0.3344371
