Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B11	B12	quality_aot	quality_wvp	quality_cloud_confidence	quality_snow_confidence	quality_scene_classification	view_zenith_mean	view_azimuth_mean	sun_zenith	sun_azimuth	view_zenith_B1	view_azimuth_B1	view_zenith_B2	view_azimuth_B2	view_zenith_B3	view_azimuth_B3	view_zenith_B4	view_azimuth_B4	view_zenith_B5	view_azimuth_B5	view_zenith_B6	view_azimuth_B6	view_zenith_B7	view_azimuth_B7	view_zenith_B8	view_azimuth_B8	view_zenith_B8A	view_azimuth_B8A	view_zenith_B9	view_azimuth_B9	view_zenith_B10	view_azimuth_B10	view_zenith_B11	view_azimuth_B11	view_zenith_B12	view_azimuth_B12	tco3	tcwv	msl	NDWI	NDVI
87.5	11.5	78.1807511703554	29.978548962036335	0.0719	0.1023	0.102	0.1166	0.1247	0.1356	0.139	0.1542	0.1614	0.1507	0.1716	0.15	0.091	1.582	2	NaN	5	6.503149	295.00412	50.1932	164.083	6.60979	299.423	6.38606	288.506	6.41589	291.028	6.45442	293.338	6.47955	294.575	6.508	295.816	6.53934	297.041	6.3994	289.767	6.57393	298.264	6.65118	300.65	6.44065	292.586	6.50221	295.575	6.58052	298.485	21.667507	0.0055379784	101353.73	-0.2037471	0.13884787
88.5	11.5	78.18084333733894	29.978548962036335	0.0719	0.0835	0.1084	0.1224	0.129	0.1322	0.1404	0.1533	0.1436	0.1507	0.1649	0.146	0.091	1.576	3	NaN	5	6.503149	295.00412	50.1932	164.083	6.60979	299.423	6.38606	288.506	6.41589	291.028	6.45442	293.338	6.47955	294.575	6.508	295.816	6.53934	297.041	6.3994	289.767	6.57393	298.264	6.65118	300.65	6.44065	292.586	6.50221	295.575	6.58052	298.485	21.666822	0.0055379635	101353.74	-0.1715705	0.112078354
89.5	11.5	78.18093550432248	29.978548962036335	0.0719	0.0816	0.0999	0.1008	0.129	0.1322	0.1404	0.1246	0.1436	0.1507	0.1649	0.146	0.091	1.576	3	NaN	5	6.503149	295.00412	50.1932	164.083	6.60979	299.423	6.38606	288.506	6.41589	291.028	6.45442	293.338	6.47955	294.575	6.508	295.816	6.53934	297.041	6.3994	289.767	6.57393	298.264	6.65118	300.65	6.44065	292.586	6.50221	295.575	6.58052	298.485	21.666136	0.005537949	101353.76	-0.11002228	0.10559007
86.5	12.5	78.18065900337187	29.9784567950528	0.0692	0.0713	0.0995	0.11	0.1177	0.1085	0.1247	0.1524	0.1454	0.1598	0.1655	0.1316	0.091	1.582	NaN	NaN	5	6.503149	295.00412	50.1932	164.083	6.60979	299.423	6.38606	288.506	6.41589	291.028	6.45442	293.338	6.47955	294.575	6.508	295.816	6.53934	297.041	6.3994	289.767	6.57393	298.264	6.65118	300.65	6.44065	292.586	6.50221	295.575	6.58052	298.485	21.668154	0.0055379877	101353.7	-0.21000397	0.16158538
87.5	12.5	78.1807511703554	29.9784567950528	0.0692	0.0863	0.0868	0.0985	0.1177	0.1085	0.1247	0.1324	0.1454	0.1598	0.1655	0.1316	0.091	1.582	NaN	NaN	5	6.503149	295.00412	50.1932	164.083	6.60979	299.423	6.38606	288.506	6.41589	291.028	6.45442	293.338	6.47955	294.575	6.508	295.816	6.53934	297.041	6.3994	289.767	6.57393	298.264	6.65118	300.65	6.44065	292.586	6.50221	295.575	6.58052	298.485	21.667469	0.0055379733	101353.72	-0.20802921	0.14681683
88.5	12.5	78.18084333733894	29.9784567950528	0.0692	0.0814	0.1078	0.1282	0.1199	0.1244	0.1388	0.1434	0.1373	0.1598	0.1728	0.1533	0.091	1.576	NaN	NaN	5	6.503149	295.00412	50.1932	164.083	6.60979	299.423	6.38606	288.506	6.41589	291.028	6.45442	293.338	6.47955	294.575	6.508	295.816	6.53934	297.041	6.3994	289.767	6.57393	298.264	6.65118	300.65	6.44065	292.586	6.50221	295.575	6.58052	298.485	21.666784	0.005537959	101353.734	-0.14171974	0.05596467
89.5	12.5	78.18093550432248	29.9784567950528	0.0692	0.0988	0.1076	0.1182	0.1199	0.1244	0.1388	0.1416	0.1373	0.1598	0.1728	0.1533	0.091	1.576	NaN	NaN	5	6.503149	295.00412	50.1932	164.083	6.60979	299.423	6.38606	288.506	6.41589	291.028	6.45442	293.338	6.47955	294.575	6.508	295.816	6.53934	297.041	6.3994	289.767	6.57393	298.264	6.65118	300.65	6.44065	292.586	6.50221	295.575	6.58052	298.485	21.6661	0.0055379444	101353.75	-0.13643657	0.090069294
90.5	12.5	78.18102767130601	29.9784567950528	0.0722	0.075	0.089	0.0993	0.1134	0.1254	0.1219	0.122	0.1418	0.1538	0.1856	0.1684	0.091	1.483	NaN	NaN	5	6.503149	295.00412	50.1932	164.083	6.60979	299.423	6.38606	288.506	6.41589	291.028	6.45442	293.338	6.47955	294.575	6.508	295.816	6.53934	297.041	6.3994	289.767	6.57393	298.264	6.65118	300.65	6.44065	292.586	6.50221	295.575	6.58052	298.485	21.665415	0.0055379295	101353.76	-0.1563981	0.10257571
200.5	12.5	78.1911660394947	29.9784567950528	0.1328	0.1572	0.1856	0.2092	0.219	0.2243	0.2307	0.2203	0.2324	0.1592	0.2659	0.2452	0.092	1.265	11	NaN	6	6.884944	294.49924	50.1821	164.145	6.98657	298.685	6.77315	288.356	6.80177	290.736	6.83857	292.92	6.86253	294.089	6.88965	295.264	6.91948	296.424	6.78596	289.545	6.95245	297.585	7.02594	299.851	6.82537	292.206	6.88412	295.035	6.95872	297.794	21.598228	0.0055364915	101355.164	-0.08548905	0.025844026
201.5	12.5	78.19125820647824	29.9784567950528	0.1328	0.1726	0.2012	0.2208	0.219	0.2243	0.2307	0.2291	0.2324	0.1592	0.2659	0.2452	0.092	1.265	11	NaN	6	6.884944	294.49924	50.1821	164.145	6.98657	298.685	6.77315	288.356	6.80177	290.736	6.83857	292.92	6.86253	294.089	6.88965	295.264	6.91948	296.424	6.78596	289.545	6.95245	297.585	7.02594	299.851	6.82537	292.206	6.88412	295.035	6.95872	297.794	21.597544	0.005536477	101355.18	-0.06483851	0.018448558
