,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
56,0.0858,0.0857,0.1009,0.115,0.1365,0.1425,0.1537,0.1526,0.1573,0.1676,0.1944,0.1782,0.057689335,0.14050823,0.12046107,0
57,0.0858,0.0893,0.0982,0.1154,0.1365,0.1425,0.1537,0.1528,0.1573,0.1676,0.1944,0.1782,0.060523763,0.13944815,0.119815685,0
58,0.0862,0.0979,0.1198,0.1302,0.1413,0.1559,0.1608,0.1644,0.1717,0.1638,0.1971,0.1855,0.060916286,0.116089605,0.09045644,0
59,0.0862,0.1008,0.1232,0.1396,0.1413,0.1559,0.1608,0.1765,0.1717,0.1638,0.1971,0.1855,0.056352615,0.11673521,0.055139203,0
60,0.0862,0.0846,0.0998,0.108,0.1184,0.1323,0.133,0.1603,0.1536,0.1638,0.1774,0.1645,0.05237227,0.19493105,0.050636634,0
61,0.0862,0.0789,0.0887,0.1021,0.1184,0.1323,0.133,0.1291,0.1536,0.1638,0.1774,0.1645,0.06559604,0.11678199,0.15758565,0
62,0.0862,0.0824,0.0946,0.0951,0.1236,0.1313,0.1317,0.1366,0.1441,0.1638,0.1736,0.1615,0.06416198,0.17911093,0.11927789,0
63,0.0862,0.0876,0.1168,0.1118,0.1236,0.1313,0.1317,0.143,0.1441,0.1638,0.1736,0.1615,0.06475142,0.122449,0.09665191,0
64,0.0862,0.0876,0.1168,0.1118,0.1236,0.1313,0.1317,0.143,0.1441,0.1638,0.1736,0.1615,0.06475142,0.122449,0.09665191,0
65,0.0878,0.1116,0.1302,0.1432,0.1274,0.1393,0.1382,0.1644,0.1535,0.1603,0.1835,0.171,0.07213932,0.06892068,0.054900862,0
66,0.0878,0.1094,0.1128,0.1218,0.1274,0.1393,0.1382,0.1572,0.1535,0.1603,0.1835,0.171,0.07446628,0.1268817,0.07719405,0
67,0.0878,0.0875,0.0999,0.1086,0.1293,0.1286,0.1421,0.1332,0.1502,0.1603,0.192,0.1777,0.0702898,0.101737,0.1808118,0
