Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B11	B12	PISI	NDVI	NDBI	NDWI
59.5	84.5	77.86519070304121	29.821222503354846	0.0857	0.11	0.1296	0.1434	0.1818	0.2009	0.2148	0.1957	0.2138	0.271	0.2264	0.1891	0.05287805	0.1542318	0.07273158	-0.20319705
60.5	84.5	77.86528294273597	29.821222503354846	0.0882	0.1154	0.1388	0.1548	0.1902	0.2132	0.2306	0.2002	0.2379	0.271	0.241	0.2017	0.05472098	0.12788735	0.09247504	-0.18112098
59.5	85.5	77.86519070304121	29.82113026366007	0.0855	0.139	0.1688	0.1814	0.2196	0.2577	0.2634	0.242	0.269	0.271	0.2509	0.2144	0.0500818	0.14312705	0.018056404	-0.1781889
60.5	85.5	77.86528294273597	29.82113026366007	0.0911	0.1262	0.1522	0.1656	0.2011	0.2417	0.2516	0.2163	0.2594	0.271	0.2516	0.2144	0.054334998	0.13275725	0.07544348	-0.17394844
83.5	147.5	77.86740445571584	29.815411402583926	0.0769	0.174	0.1974	0.2204	0.2093	0.2577	0.2741	0.28	0.2771	0.2767	0.261	0.2148	0.056960795	0.119104706	-0.035120137	-0.17302053
84.5	147.5	77.86749669541062	29.815411402583926	0.0769	0.1444	0.1836	0.194	0.2093	0.2577	0.2741	0.2697	0.2771	0.2767	0.261	0.2148	0.038619537	0.16325207	-0.016393412	-0.18994044
83.5	148.5	77.86740445571584	29.81531916288915	0.0784	0.1498	0.191	0.1998	0.2257	0.261	0.2742	0.2688	0.2844	0.2767	0.2708	0.2215	0.04355937	0.1472471	0.0037064569	-0.16920398
84.5	148.5	77.86749669541062	29.81531916288915	0.0784	0.1766	0.2018	0.2144	0.2257	0.261	0.2742	0.284	0.2844	0.2767	0.2708	0.2215	0.05679671	0.1396469	-0.023792384	-0.16920544
85.5	148.5	77.86758893510539	29.81531916288915	0.0794	0.1618	0.1748	0.1908	0.215	0.2549	0.267	0.274	0.2815	0.2767	0.2605	0.2079	0.050407562	0.1790017	-0.025257204	-0.22103387
86.5	148.5	77.86768117480017	29.81531916288915	0.0794	0.0901	0.1162	0.123	0.215	0.2549	0.267	0.2412	0.2815	0.2767	0.2605	0.2079	0.010481718	0.32454693	0.038469233	-0.3497482
84.5	149.5	77.86749669541062	29.815226923194373	0.0784	0.1522	0.1944	0.204	0.2257	0.261	0.2742	0.2674	0.2844	0.2767	0.2708	0.2215	0.04632834	0.13449301	0.0063173505	-0.15807709
85.5	149.5	77.86758893510539	29.815226923194373	0.0794	0.1622	0.213	0.2214	0.215	0.2549	0.267	0.277	0.2815	0.2767	0.2605	0.2079	0.049014736	0.111557014	-0.030697666	-0.13061227
86.5	149.5	77.86768117480017	29.815226923194373	0.0794	0.1572	0.1866	0.1908	0.215	0.2549	0.267	0.2768	0.2815	0.2767	0.2605	0.2079	0.045033433	0.1839179	-0.030336855	-0.19464827
87.5	149.5	77.86777341449495	29.815226923194373	0.0794	0.1572	0.1866	0.1908	0.215	0.2549	0.267	0.2768	0.2815	0.2767	0.2605	0.2079	0.045033433	0.1839179	-0.030336855	-0.19464827
84.5	150.5	77.86749669541062	29.815134683499597	0.0716	0.1134	0.1424	0.1442	0.1591	0.2385	0.2633	0.2568	0.2791	0.2767	0.2474	0.1753	0.02062248	0.28079802	-0.018643387	-0.28657314
85.5	150.5	77.86758893510539	29.815134683499597	0.0754	0.1618	0.1808	0.2002	0.2142	0.2576	0.2749	0.2656	0.2779	0.2767	0.2647	0.2155	0.05522496	0.14040358	-0.0016971532	-0.18996413
86.5	150.5	77.86768117480017	29.815134683499597	0.0754	0.1722	0.2016	0.2238	0.2142	0.2576	0.2749	0.2786	0.2779	0.2767	0.2647	0.2155	0.056289133	0.10907644	-0.025584413	-0.16034986
87.5	150.5	77.86777341449495	29.815134683499597	0.0732	0.1486	0.1932	0.1988	0.2125	0.247	0.2607	0.2754	0.2687	0.2767	0.2531	0.2042	0.03879121	0.16153525	-0.0421949	-0.17541614
86.5	151.5	77.86768117480017	29.81504244380482	0.0754	0.1472	0.1868	0.1854	0.2142	0.2576	0.2749	0.2614	0.2779	0.2767	0.2647	0.2155	0.045673333	0.17009851	0.0062725362	-0.16644357
87.5	151.5	77.86777341449495	29.81504244380482	0.0732	0.1722	0.1982	0.2042	0.2125	0.247	0.2607	0.2728	0.2687	0.2767	0.2531	0.2042	0.059615437	0.14381552	-0.037459575	-0.15838641
87.5	152.5	77.86777341449495	29.814950204110044	0.0707	0.1368	0.1736	0.1824	0.2008	0.2558	0.2718	0.2646	0.2813	0.2792	0.2586	0.206	0.03531846	0.18389262	-0.011467913	-0.20766774
104.5	159.5	77.86934148930615	29.81430452624661	0.0738	0.1662	0.1864	0.2036	0.2153	0.2432	0.2604	0.2656	0.2649	0.2591	0.2656	0.2209	0.05882944	0.13213979	0.0	-0.17522123
105.5	159.5	77.86943372900092	29.81430452624661	0.074	0.1748	0.1968	0.2062	0.2052	0.2413	0.2602	0.2721	0.2581	0.2591	0.2508	0.2034	0.062146805	0.13777962	-0.040734343	-0.16058864
106.5	159.5	77.8695259686957	29.81430452624661	0.074	0.1716	0.193	0.2006	0.2052	0.2413	0.2602	0.2692	0.2581	0.2591	0.2508	0.2034	0.06118852	0.14601958	-0.035384584	-0.16486368
107.5	159.5	77.86961820839048	29.81430452624661	0.0731	0.1578	0.1812	0.1874	0.1778	0.2282	0.2431	0.2598	0.2513	0.2591	0.2303	0.1829	0.05527447	0.16189623	-0.060191784	-0.17823127
108.5	159.5	77.86971044808526	29.81430452624661	0.0731	0.1578	0.1812	0.1874	0.1778	0.2282	0.2431	0.2598	0.2513	0.2591	0.2303	0.1829	0.05527447	0.16189623	-0.060191784	-0.17823127
104.5	160.5	77.86934148930615	29.814212286551832	0.073	0.1162	0.145	0.1646	0.1719	0.2215	0.24	0.2512	0.2638	0.2591	0.2696	0.2095	0.026127845	0.20827319	0.035330288	-0.26804644
105.5	160.5	77.86943372900092	29.814212286551832	0.0757	0.1398	0.1702	0.1888	0.1963	0.2384	0.2501	0.2564	0.2666	0.2591	0.2752	0.2254	0.042478763	0.15184183	0.035364974	-0.20206279
106.5	160.5	77.8695259686957	29.814212286551832	0.0757	0.1602	0.1836	0.2054	0.1963	0.2384	0.2501	0.2614	0.2666	0.2591	0.2752	0.2254	0.056322932	0.11996574	0.02571747	-0.17483151
107.5	160.5	77.86961820839048	29.814212286551832	0.0758	0.1662	0.1846	0.2128	0.2124	0.2425	0.258	0.2542	0.2745	0.2591	0.2597	0.2219	0.06536733	0.088650994	0.010702449	-0.15861444
108.5	160.5	77.86971044808526	29.814212286551832	0.0758	0.1704	0.1832	0.2082	0.2124	0.2425	0.258	0.2592	0.2745	0.2591	0.2597	0.2219	0.06594047	0.10911428	9.635644E-4	-0.17179024
109.5	160.5	77.86980268778002	29.814212286551832	0.0758	0.1704	0.1832	0.2082	0.2124	0.2425	0.258	0.2592	0.2745	0.2591	0.2597	0.2219	0.06594047	0.10911428	9.635644E-4	-0.17179024
