Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B11	B12	NDBI	NDVI
8.5	21.5	77.93667646649297	29.797424662102515	0.0354	0.0414	0.0674	0.0588	0.0927	0.1968	0.2303	0.2317	0.2462	0.2532	0.1621	0.0945	-0.17673947	0.59518075
9.5	21.5	77.93676870618775	29.797424662102515	0.0357	0.0454	0.0674	0.0569	0.0929	0.2037	0.2371	0.235	0.2582	0.2532	0.1596	0.0898	-0.19107956	0.61014044
10.5	21.5	77.93686094588253	29.797424662102515	0.0357	0.0435	0.0689	0.0554	0.0929	0.2037	0.2371	0.2387	0.2582	0.2532	0.1596	0.0898	-0.19859402	0.6232574
11.5	21.5	77.93695318557731	29.797424662102515	0.0357	0.0435	0.0689	0.0554	0.0929	0.2037	0.2371	0.2387	0.2582	0.2532	0.1596	0.0898	-0.19859402	0.6232574
12.5	21.5	77.93704542527207	29.797424662102515	0.036	0.0417	0.0686	0.0545	0.0971	0.2099	0.2484	0.2589	0.267	0.2769	0.1553	0.087	-0.25012067	0.65220165
13.5	21.5	77.93713766496685	29.797424662102515	0.036	0.0426	0.0684	0.0548	0.0971	0.2099	0.2484	0.252	0.267	0.2769	0.1553	0.087	-0.23741713	0.64276403
14.5	21.5	77.93722990466163	29.797424662102515	0.0366	0.0444	0.066	0.0524	0.0939	0.2079	0.2453	0.2435	0.2634	0.2769	0.1552	0.0856	-0.22146975	0.6458263
15.5	21.5	77.93732214435641	29.797424662102515	0.0366	0.0425	0.0636	0.051	0.0939	0.2079	0.2453	0.2396	0.2634	0.2769	0.1552	0.0856	-0.21377912	0.6490021
16.5	21.5	77.93741438405118	29.797424662102515	0.0375	0.0442	0.0682	0.0555	0.099	0.2062	0.2413	0.2424	0.2571	0.2769	0.1585	0.0908	-0.20927913	0.62739176
17.5	21.5	77.93750662374596	29.797424662102515	0.0375	0.0474	0.0724	0.0609	0.099	0.2062	0.2413	0.249	0.2571	0.2769	0.1585	0.0908	-0.22208588	0.60697
18.5	21.5	77.93759886344074	29.797424662102515	0.0384	0.0485	0.0746	0.062	0.0992	0.205	0.2315	0.2472	0.2492	0.2609	0.1571	0.0946	-0.22285429	0.59896505
19.5	21.5	77.93769110313552	29.797424662102515	0.0384	0.0516	0.0774	0.0644	0.0992	0.205	0.2315	0.2408	0.2492	0.2609	0.1571	0.0946	-0.21035433	0.57798165
20.5	21.5	77.93778334283029	29.797424662102515	0.0384	0.0516	0.0774	0.0644	0.0992	0.205	0.2315	0.2408	0.2492	0.2609	0.1571	0.0946	-0.21035433	0.57798165
21.5	21.5	77.93787558252507	29.797424662102515	0.0393	0.0526	0.0812	0.0714	0.1118	0.1878	0.2261	0.218	0.2214	0.2609	0.1732	0.1097	-0.114519425	0.5065653
22.5	21.5	77.93796782221985	29.797424662102515	0.0393	0.0558	0.0852	0.0792	0.1118	0.1878	0.2261	0.1898	0.2214	0.2609	0.1732	0.1097	-0.045730025	0.4111524
23.5	21.5	77.93806006191463	29.797424662102515	0.0394	0.0512	0.0728	0.0708	0.1102	0.2182	0.2346	0.177	0.2555	0.2609	0.1861	0.1148	0.02506198	0.42857143
24.5	21.5	77.93815230160939	29.797424662102515	0.0394	0.0436	0.0664	0.0538	0.1102	0.2182	0.2346	0.26	0.2555	0.2609	0.1861	0.1148	-0.1656579	0.6571064
25.5	21.5	77.93824454130417	29.797424662102515	0.0394	0.0465	0.0722	0.0598	0.1154	0.2497	0.2931	0.3124	0.3152	0.2566	0.2061	0.1236	-0.20501448	0.6786674
26.5	21.5	77.93833678099895	29.797424662102515	0.0394	0.043	0.0752	0.0628	0.1154	0.2497	0.2931	0.2986	0.3152	0.2566	0.2061	0.1236	-0.18327717	0.65246266
27.5	21.5	77.93842902069373	29.797424662102515	0.0437	0.0469	0.075	0.0622	0.1231	0.2253	0.2557	0.254	0.2666	0.2566	0.1834	0.1234	-0.16140832	0.6065781
28.5	21.5	77.9385212603885	29.797424662102515	0.0437	0.0558	0.0834	0.0822	0.1231	0.2253	0.2557	0.2225	0.2666	0.2566	0.1834	0.1234	-0.09632912	0.4604529
29.5	21.5	77.93861350008328	29.797424662102515	0.0437	0.0558	0.0834	0.0822	0.1231	0.2253	0.2557	0.2225	0.2666	0.2566	0.1834	0.1234	-0.09632912	0.4604529
30.5	21.5	77.93870573977806	29.797424662102515	0.0493	0.0656	0.0921	0.104	0.1289	0.1738	0.1902	0.1807	0.1982	0.2566	0.2047	0.1724	0.062272936	0.2694064
31.5	21.5	77.93879797947284	29.797424662102515	0.0493	0.0693	0.0974	0.1178	0.1289	0.1738	0.1902	0.178	0.1982	0.2566	0.2047	0.1724	0.069767416	0.2035159
32.5	21.5	77.9388902191676	29.797424662102515	0.056	0.0648	0.09	0.1068	0.1308	0.1564	0.165	0.162	0.1698	0.2349	0.1993	0.1761	0.10323832	0.20535715
33.5	21.5	77.93898245886238	29.797424662102515	0.056	0.0819	0.1007	0.116	0.1308	0.1564	0.165	0.1606	0.1698	0.2349	0.1993	0.1761	0.10752986	0.1612437
34.5	21.5	77.93907469855716	29.797424662102515	0.0611	0.0946	0.104	0.1236	0.1404	0.1858	0.214	0.1882	0.2139	0.2349	0.2087	0.1557	0.0516503	0.20718409
35.5	21.5	77.93916693825194	29.797424662102515	0.0611	0.0839	0.1088	0.1344	0.1404	0.1858	0.214	0.228	0.2139	0.2349	0.2087	0.1557	-0.044195097	0.25827816
36.5	21.5	77.93925917794671	29.797424662102515	0.0626	0.065	0.0899	0.1084	0.1487	0.2202	0.2346	0.228	0.2435	0.2349	0.2241	0.166	-0.008626425	0.35552913
37.5	21.5	77.93935141764149	29.797424662102515	0.0626	0.0567	0.0872	0.0942	0.1487	0.2202	0.2346	0.2155	0.2435	0.2349	0.2241	0.166	0.019563232	0.39166936
38.5	21.5	77.93944365733627	29.797424662102515	0.0618	0.0739	0.1018	0.1224	0.1505	0.1927	0.2102	0.2192	0.2235	0.2277	0.2162	0.1735	-0.00689023	0.28337237
39.5	21.5	77.93953589703105	29.797424662102515	0.0618	0.0739	0.1018	0.1224	0.1505	0.1927	0.2102	0.2192	0.2235	0.2277	0.2162	0.1735	-0.00689023	0.28337237
40.5	21.5	77.93962813672582	29.797424662102515	0.0618	0.0966	0.1204	0.1454	0.1505	0.1927	0.2102	0.2104	0.2235	0.2277	0.2162	0.1735	0.01359586	0.1826869
41.5	21.5	77.9397203764206	29.797424662102515	0.0603	0.0936	0.1142	0.1366	0.1378	0.1852	0.2008	0.1954	0.2217	0.2277	0.2106	0.1673	0.037438434	0.17710842
42.5	21.5	77.93981261611538	29.797424662102515	0.0603	0.071	0.0952	0.1102	0.1378	0.1852	0.2008	0.1926	0.2217	0.2277	0.2106	0.1673	0.044642873	0.2721268
43.5	21.5	77.93990485581016	29.797424662102515	0.0564	0.0482	0.0657	0.0764	0.111	0.1714	0.1979	0.1541	0.2144	0.2277	0.1968	0.1406	0.12168707	0.3370933
44.5	21.5	77.93999709550492	29.797424662102515	0.0564	0.0457	0.0639	0.0613	0.111	0.1714	0.1979	0.1835	0.2144	0.2277	0.1968	0.1406	0.034972355	0.49918303
45.5	21.5	77.9400893351997	29.797424662102515	0.0515	0.0474	0.0658	0.0581	0.1025	0.1891	0.2276	0.2352	0.2524	0.2669	0.1871	0.1257	-0.113900095	0.6038186
46.5	21.5	77.94018157489448	29.797424662102515	0.0515	0.0417	0.0684	0.0583	0.1025	0.1891	0.2276	0.2598	0.2524	0.2669	0.1871	0.1257	-0.1626762	0.6334486
47.5	21.5	77.94027381458926	29.797424662102515	0.0493	0.0385	0.0646	0.06	0.1139	0.1896	0.2067	0.2564	0.2382	0.2669	0.2007	0.148	-0.121855155	0.62073326
48.5	21.5	77.94036605428403	29.797424662102515	0.0493	0.0385	0.0646	0.06	0.1139	0.1896	0.2067	0.2564	0.2382	0.2669	0.2007	0.148	-0.121855155	0.62073326
49.5	21.5	77.9404582939788	29.797424662102515	0.0493	0.049	0.0692	0.0751	0.1139	0.1896	0.2067	0.2251	0.2382	0.2669	0.2007	0.148	-0.05730389	0.4996669
50.5	21.5	77.94055053367359	29.797424662102515	0.0508	0.0573	0.076	0.0818	0.1121	0.2011	0.2491	0.2023	0.2623	0.2669	0.1979	0.1394	-0.010994503	0.4241464
51.5	21.5	77.94064277336837	29.797424662102515	0.0508	0.0438	0.0708	0.059	0.1121	0.2011	0.2491	0.2912	0.2623	0.2669	0.1979	0.1394	-0.19075856	0.6630497
52.5	21.5	77.94073501306313	29.797424662102515	0.0547	0.0393	0.0656	0.0503	0.0988	0.2664	0.3057	0.3333	0.3258	0.2692	0.1812	0.1077	-0.29562682	0.73774767
53.5	21.5	77.94082725275791	29.797424662102515	0.0547	0.0428	0.0654	0.056	0.0988	0.2664	0.3057	0.2972	0.3258	0.2692	0.1812	0.1077	-0.24247491	0.6828992
54.5	21.5	77.9409194924527	29.797424662102515	0.062	0.0552	0.0792	0.078	0.1255	0.2116	0.2518	0.2484	0.2587	0.2692	0.1998	0.1401	-0.10843374	0.52205884
55.5	21.5	77.94101173214747	29.797424662102515	0.062	0.0844	0.106	0.1242	0.1255	0.2116	0.2518	0.2183	0.2587	0.2692	0.1998	0.1401	-0.044247787	0.2747445
56.5	21.5	77.94110397184224	29.797424662102515	0.0748	0.1001	0.1232	0.1448	0.1689	0.1981	0.2129	0.2134	0.2272	0.2692	0.2229	0.1856	0.021774001	0.1915131
57.5	21.5	77.94119621153702	29.797424662102515	0.0748	0.1001	0.1232	0.1448	0.1689	0.1981	0.2129	0.2134	0.2272	0.2692	0.2229	0.1856	0.021774001	0.1915131
3.5	22.5	77.9362152680191	29.797332422407738	0.0367	0.0446	0.0697	0.0588	0.0997	0.2026	0.243	0.2525	0.252	0.2765	0.1641	0.0941	-0.21219392	0.62222934
4.5	22.5	77.93630750771386	29.797332422407738	0.0367	0.0464	0.0686	0.0604	0.0997	0.2026	0.243	0.2361	0.252	0.2765	0.1641	0.0941	-0.17991003	0.5925801
5.5	22.5	77.93639974740864	29.797332422407738	0.0359	0.0446	0.0683	0.058	0.0954	0.1984	0.2342	0.231	0.2505	0.2532	0.1644	0.094	-0.16843705	0.59861594
6.5	22.5	77.93649198710342	29.797332422407738	0.0359	0.042	0.0678	0.058	0.0954	0.1984	0.2342	0.2367	0.2505	0.2532	0.1644	0.094	-0.18025431	0.6063794
7.5	22.5	77.9365842267982	29.797332422407738	0.0354	0.0446	0.0658	0.0557	0.0927	0.1968	0.2303	0.2308	0.2462	0.2532	0.1621	0.0945	-0.17485365	0.6111693
8.5	22.5	77.93667646649297	29.797332422407738	0.0354	0.0436	0.0664	0.0574	0.0927	0.1968	0.2303	0.2315	0.2462	0.2532	0.1621	0.0945	-0.17632113	0.6026307
9.5	22.5	77.93676870618775	29.797332422407738	0.0357	0.0455	0.0664	0.059	0.0929	0.2037	0.2371	0.2396	0.2582	0.2532	0.1596	0.0898	-0.2004008	0.6048225
10.5	22.5	77.93686094588253	29.797332422407738	0.0357	0.0438	0.0683	0.056	0.0929	0.2037	0.2371	0.2498	0.2582	0.2532	0.1596	0.0898	-0.2203224	0.6337475
11.5	22.5	77.93695318557731	29.797332422407738	0.0357	0.0438	0.0683	0.056	0.0929	0.2037	0.2371	0.2498	0.2582	0.2532	0.1596	0.0898	-0.2203224	0.6337475
12.5	22.5	77.93704542527207	29.797332422407738	0.036	0.044	0.0713	0.0556	0.0971	0.2099	0.2484	0.2556	0.267	0.2769	0.1553	0.087	-0.2440983	0.64267355
13.5	22.5	77.93713766496685	29.797332422407738	0.036	0.0425	0.0709	0.056	0.0971	0.2099	0.2484	0.2469	0.267	0.2769	0.1553	0.087	-0.22774738	0.630241
14.5	22.5	77.93722990466163	29.797332422407738	0.0366	0.0425	0.0704	0.0568	0.0939	0.2079	0.2453	0.2503	0.2634	0.2769	0.1552	0.0856	-0.23452525	0.6300879
15.5	22.5	77.93732214435641	29.797332422407738	0.0366	0.0463	0.0676	0.0577	0.0939	0.2079	0.2453	0.246	0.2634	0.2769	0.1552	0.0856	-0.22632104	0.62001973
16.5	22.5	77.93741438405118	29.797332422407738	0.0375	0.042	0.0625	0.0562	0.099	0.2062	0.2413	0.2414	0.2571	0.2769	0.1585	0.0908	-0.20730183	0.62231183
17.5	22.5	77.93750662374596	29.797332422407738	0.0375	0.0463	0.072	0.0586	0.099	0.2062	0.2413	0.2471	0.2571	0.2769	0.1585	0.0908	-0.2184418	0.61661756
18.5	22.5	77.93759886344074	29.797332422407738	0.0384	0.0467	0.0692	0.0544	0.0992	0.205	0.2315	0.2302	0.2492	0.2609	0.1571	0.0946	-0.18874253	0.61770904
19.5	22.5	77.93769110313552	29.797332422407738	0.0384	0.0454	0.0718	0.0578	0.0992	0.205	0.2315	0.2389	0.2492	0.2609	0.1571	0.0946	-0.20656565	0.6103809
20.5	22.5	77.93778334283029	29.797332422407738	0.0384	0.0454	0.0718	0.0578	0.0992	0.205	0.2315	0.2389	0.2492	0.2609	0.1571	0.0946	-0.20656565	0.6103809
21.5	22.5	77.93787558252507	29.797332422407738	0.0393	0.0482	0.074	0.0614	0.1118	0.1878	0.2261	0.2504	0.2214	0.2609	0.1732	0.1097	-0.18224743	0.6061578
22.5	22.5	77.93796782221985	29.797332422407738	0.0393	0.0497	0.0745	0.0652	0.1118	0.1878	0.2261	0.2265	0.2214	0.2609	0.1732	0.1097	-0.13335003	0.5529654
23.5	22.5	77.93806006191463	29.797332422407738	0.0394	0.0512	0.067	0.0628	0.1102	0.2182	0.2346	0.2396	0.2555	0.2609	0.1861	0.1148	-0.12567535	0.5846561
24.5	22.5	77.93815230160939	29.797332422407738	0.0394	0.0445	0.0738	0.0574	0.1102	0.2182	0.2346	0.3087	0.2555	0.2609	0.1861	0.1148	-0.24777685	0.6864245
25.5	22.5	77.93824454130417	29.797332422407738	0.0394	0.0468	0.076	0.0602	0.1154	0.2497	0.2931	0.3248	0.3152	0.2566	0.2061	0.1236	-0.22358261	0.6872727
26.5	22.5	77.93833678099895	29.797332422407738	0.0394	0.0456	0.0739	0.0646	0.1154	0.2497	0.2931	0.2899	0.3152	0.2566	0.2061	0.1236	-0.16895162	0.63554305
27.5	22.5	77.93842902069373	29.797332422407738	0.0412	0.0478	0.0752	0.0648	0.1189	0.2275	0.2557	0.2702	0.2717	0.2566	0.2067	0.1344	-0.13315164	0.6131343
28.5	22.5	77.9385212603885	29.797332422407738	0.0412	0.0442	0.0736	0.0706	0.1189	0.2275	0.2557	0.231	0.2717	0.2566	0.2067	0.1344	-0.0555175	0.53183025
29.5	22.5	77.93861350008328	29.797332422407738	0.0457	0.0478	0.0758	0.08	0.1179	0.1865	0.2095	0.1918	0.2285	0.2566	0.2017	0.1511	0.025158841	0.41133186
30.5	22.5	77.93870573977806	29.797332422407738	0.0457	0.0478	0.0758	0.08	0.1179	0.1865	0.2095	0.1918	0.2285	0.2566	0.2017	0.1511	0.025158841	0.41133186
31.5	22.5	77.93879797947284	29.797332422407738	0.0457	0.059	0.0857	0.1018	0.1179	0.1865	0.2095	0.1768	0.2285	0.2566	0.2017	0.1511	0.06578601	0.26920316
32.5	22.5	77.9388902191676	29.797332422407738	0.0519	0.081	0.0952	0.1268	0.1601	0.1825	0.2	0.1836	0.2101	0.2349	0.2181	0.1807	0.085884996	0.18298967
33.5	22.5	77.93898245886238	29.797332422407738	0.0519	0.1078	0.1432	0.151	0.1601	0.1825	0.2	0.2114	0.2101	0.2349	0.2181	0.1807	0.015599521	0.1666667
