Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B11	B12	NDVI	NDBI	NDWI
69.5	45.5	78.09173139341223	29.902393434758146	0.0366	0.0436	0.0665	0.0576	0.1021	0.2433	0.3028	0.3204	0.3317	0.3032	0.1822	0.1093	0.6952381	-0.27497014	-0.6562419
70.5	45.5	78.09182363310701	29.902393434758146	0.0354	0.0416	0.062	0.0482	0.0873	0.2447	0.3047	0.3156	0.3197	0.3032	0.1615	0.0865	0.73501927	-0.32299307	-0.6716102
71.5	45.5	78.09191587280179	29.902393434758146	0.0354	0.0424	0.0646	0.0472	0.0873	0.2447	0.3047	0.3229	0.3197	0.3032	0.1615	0.0865	0.7449338	-0.3331957	-0.6665807
72.5	45.5	78.09200811249657	29.902393434758146	0.0379	0.0393	0.0648	0.048	0.0931	0.2399	0.2961	0.3107	0.3157	0.3032	0.1562	0.0876	0.73236686	-0.33090594	-0.6548602
73.5	45.5	78.09210035219134	29.902393434758146	0.0379	0.045	0.0639	0.0502	0.0931	0.2399	0.2961	0.2923	0.3157	0.3032	0.1562	0.0876	0.7068613	-0.30345592	-0.64121276
74.5	45.5	78.09219259188612	29.902393434758146	0.0379	0.045	0.0639	0.0502	0.0931	0.2399	0.2961	0.2923	0.3157	0.3032	0.1562	0.0876	0.7068613	-0.30345592	-0.64121276
75.5	45.5	78.0922848315809	29.902393434758146	0.0426	0.0426	0.0648	0.0518	0.1066	0.2403	0.2689	0.2608	0.2917	0.2572	0.1834	0.1086	0.6685861	-0.17424583	-0.6019656
76.5	45.5	78.09237707127568	29.902393434758146	0.0426	0.0393	0.0616	0.056	0.1066	0.2403	0.2689	0.2444	0.2917	0.2572	0.1834	0.1086	0.62716377	-0.14258997	-0.59738564
77.5	45.5	78.09246931097044	29.902393434758146	0.0459	0.0557	0.0878	0.0847	0.1417	0.2462	0.284	0.2888	0.3057	0.2572	0.2437	0.1658	0.54645246	-0.08469484	-0.53372276
78.5	45.5	78.09256155066522	29.902393434758146	0.0459	0.063	0.0958	0.0982	0.1417	0.2462	0.284	0.3051	0.3057	0.2572	0.2437	0.1658	0.5130176	-0.11188046	-0.52207536
79.5	45.5	78.09265379036	29.902393434758146	0.0469	0.0621	0.095	0.1048	0.157	0.22	0.2498	0.2789	0.2724	0.2572	0.2776	0.2079	0.45373988	-0.0023360415	-0.49184275
80.5	45.5	78.09274603005478	29.902393434758146	0.0469	0.0662	0.0928	0.1112	0.157	0.22	0.2498	0.2592	0.2724	0.2572	0.2776	0.2079	0.39956805	0.034277167	-0.4727273
81.5	45.5	78.09283826974955	29.902393434758146	0.0466	0.0709	0.0963	0.1242	0.152	0.1944	0.2198	0.2401	0.2371	0.229	0.2817	0.2219	0.31814438	0.079724014	-0.4274673
82.5	45.5	78.09293050944433	29.902393434758146	0.0466	0.0683	0.0954	0.1184	0.152	0.1944	0.2198	0.2303	0.2371	0.229	0.2817	0.2219	0.32090622	0.10039061	-0.41418484
83.5	45.5	78.09302274913911	29.902393434758146	0.0466	0.0683	0.0954	0.1184	0.152	0.1944	0.2198	0.2303	0.2371	0.229	0.2817	0.2219	0.32090622	0.10039061	-0.41418484
84.5	45.5	78.09311498883389	29.902393434758146	0.0465	0.0616	0.0898	0.1098	0.1406	0.1801	0.2078	0.2196	0.2294	0.229	0.2768	0.2042	0.33333334	0.11522965	-0.41952166
85.5	45.5	78.09320722852866	29.902393434758146	0.0465	0.0622	0.0838	0.1032	0.1406	0.1801	0.2078	0.2243	0.2294	0.229	0.2768	0.2042	0.36977097	0.10476953	-0.45602074
