Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B11	B12	NDVI	NDWI	NDBI	PISI
53.5	8.5	77.94082725275791	29.79862377813461	0.0571	0.0626	0.0771	0.072	0.091	0.1298	0.1369	0.1486	0.1508	0.1363	0.1211	0.0823	0.34723482	0.28713727	-0.10196513	0.04105982
54.5	8.5	77.9409194924527	29.79862377813461	0.0571	0.0626	0.0771	0.072	0.091	0.1298	0.1369	0.1486	0.1508	0.1363	0.1211	0.0823	0.34723482	0.28713727	-0.10196513	0.04105982
55.5	8.5	77.94101173214747	29.79862377813461	0.0571	0.058	0.0705	0.0655	0.0831	0.119	0.1298	0.1464	0.14	0.1363	0.1183	0.0771	0.38178387	0.31006712	-0.106157936	0.038553197
56.5	8.5	77.94110397184224	29.79862377813461	0.0571	0.0575	0.0673	0.0636	0.0831	0.119	0.1298	0.1461	0.14	0.1363	0.1183	0.0771	0.39341915	0.3091398	-0.105143726	0.03831565
57.5	8.5	77.94119621153702	29.79862377813461	0.0571	0.0568	0.0667	0.0606	0.0803	0.1136	0.121	0.136	0.1297	0.1363	0.1124	0.0714	0.38351986	0.31147543	-0.09500807	0.043534555
58.5	8.5	77.9412884512318	29.79862377813461	0.0571	0.057	0.0673	0.0602	0.0835	0.1203	0.1276	0.1372	0.1379	0.1363	0.1169	0.0762	0.39007092	0.28584817	-0.07988981	0.0430102
2.5	9.5	77.93612302832432	29.798531538439832	0.0611	0.0567	0.0808	0.0653	0.1008	0.166	0.1815	0.1876	0.1895	0.1835	0.1276	0.0786	0.48359033	0.4094666	-0.19035533	0.013860038
3.5	9.5	77.9362152680191	29.798531538439832	0.0611	0.059	0.0785	0.0661	0.0985	0.158	0.1686	0.178	0.182	0.1835	0.1306	0.0777	0.45841867	0.3922566	-0.15359688	0.021249799
4.5	9.5	77.93630750771386	29.798531538439832	0.0611	0.0619	0.0769	0.0675	0.0985	0.158	0.1686	0.1752	0.182	0.1835	0.1306	0.0777	0.4437577	0.3855279	-0.14584693	0.025231281
5.5	9.5	77.93639974740864	29.798531538439832	0.0616	0.0586	0.075	0.0672	0.0942	0.1479	0.159	0.1704	0.1694	0.1837	0.1239	0.0748	0.43434343	0.38988578	-0.15800203	0.025280725
6.5	9.5	77.93649198710342	29.798531538439832	0.0616	0.059	0.0759	0.0656	0.0942	0.1479	0.159	0.1714	0.1694	0.1837	0.1239	0.0748	0.4464135	0.39236394	-0.16085337	0.025034903
7.5	9.5	77.9365842267982	29.798531538439832	0.0616	0.0596	0.0761	0.0637	0.0942	0.1394	0.151	0.1644	0.1581	0.1837	0.1227	0.0744	0.44147304	0.3768844	-0.14524555	0.02954092
50.5	9.5	77.94055053367359	29.798531538439832	0.0607	0.0608	0.072	0.0666	0.088	0.1309	0.1438	0.1422	0.1457	0.1645	0.1192	0.082	0.36206892	0.26851022	-0.08798774	0.043255664
51.5	9.5	77.94064277336837	29.798531538439832	0.0607	0.0617	0.0769	0.0666	0.088	0.1309	0.1438	0.1479	0.1457	0.1645	0.1192	0.082	0.37902096	0.28664637	-0.107450396	0.04072399
52.5	9.5	77.94073501306313	29.798531538439832	0.0571	0.0623	0.0759	0.071	0.091	0.1298	0.1369	0.1448	0.1508	0.1363	0.1211	0.0823	0.34198332	0.2752092	-0.08913127	0.042993356
53.5	9.5	77.94082725275791	29.798531538439832	0.0571	0.06	0.0759	0.0647	0.091	0.1298	0.1369	0.149	0.1508	0.1363	0.1211	0.0823	0.39447826	0.2883701	-0.10329509	0.038700495
54.5	9.5	77.9409194924527	29.798531538439832	0.0571	0.06	0.0759	0.0647	0.091	0.1298	0.1369	0.149	0.1508	0.1363	0.1211	0.0823	0.39447826	0.2883701	-0.10329509	0.038700495
55.5	9.5	77.94101173214747	29.798531538439832	0.0571	0.0556	0.0683	0.0591	0.0831	0.119	0.1298	0.1434	0.14	0.1363	0.1183	0.0771	0.4162963	0.30068025	-0.095911354	0.03830762
56.5	9.5	77.94110397184224	29.798531538439832	0.0571	0.0571	0.0659	0.0611	0.0831	0.119	0.1298	0.1337	0.14	0.1363	0.1183	0.0771	0.37268993	0.26850092	-0.06111111	0.045099374
57.5	9.5	77.94119621153702	29.798531538439832	0.0571	0.0561	0.0654	0.0579	0.0803	0.1136	0.121	0.1305	0.1297	0.1363	0.1124	0.0714	0.38535032	0.29271916	-0.07451627	0.04611537
2.5	10.5	77.93612302832432	29.798439298745055	0.0611	0.0582	0.0767	0.0678	0.1008	0.166	0.1815	0.1923	0.1895	0.1835	0.1276	0.0786	0.47866207	0.4197121	-0.20225072	0.012393388
3.5	10.5	77.9362152680191	29.798439298745055	0.0611	0.059	0.0769	0.0675	0.0985	0.158	0.1686	0.1737	0.182	0.1835	0.1306	0.0777	0.4402985	0.3818616	-0.14163654	0.023715848
4.5	10.5	77.93630750771386	29.798439298745055	0.0611	0.0597	0.0747	0.0662	0.0985	0.158	0.1686	0.1746	0.182	0.1835	0.1306	0.0777	0.4501661	0.3840666	-0.14416775	0.023773137
5.5	10.5	77.93639974740864	29.798439298745055	0.0616	0.0571	0.0713	0.0653	0.0942	0.1479	0.159	0.1694	0.1694	0.1837	0.1239	0.0748	0.44354495	0.3873874	-0.1551313	0.024625417
6.5	10.5	77.93649198710342	29.798439298745055	0.0616	0.0583	0.0764	0.0642	0.0942	0.1479	0.159	0.161	0.1694	0.1837	0.1239	0.0748	0.42984015	0.36556405	-0.13022114	0.030425861
17.5	10.5	77.93750662374596	29.798439298745055	0.0619	0.0626	0.0786	0.0664	0.0997	0.1726	0.1822	0.1752	0.199	0.1786	0.1325	0.0861	0.45033112	0.34098738	-0.13877156	0.02580472
18.5	10.5	77.93759886344074	29.798439298745055	0.0619	0.0621	0.0786	0.0662	0.0997	0.1726	0.1822	0.1849	0.199	0.1786	0.1325	0.0861	0.47272003	0.36457565	-0.1650914	0.01983217
51.5	10.5	77.94064277336837	29.798439298745055	0.0607	0.0597	0.072	0.0643	0.0792	0.1148	0.123	0.1279	0.1253	0.1645	0.1041	0.0666	0.33090532	0.3151671	-0.10258624	0.050555587
52.5	10.5	77.94073501306313	29.798439298745055	0.0571	0.0597	0.0684	0.0659	0.0814	0.1183	0.1305	0.1303	0.1338	0.1363	0.1097	0.0748	0.32823652	0.27059972	-0.085833326	0.04917919
53.5	10.5	77.94082725275791	29.798439298745055	0.0571	0.0593	0.0688	0.058	0.0814	0.1183	0.1305	0.1318	0.1338	0.1363	0.1097	0.0748	0.38883033	0.27589545	-0.09151136	0.047991265
54.5	10.5	77.9409194924527	29.798439298745055	0.0571	0.0593	0.0688	0.058	0.0814	0.1183	0.1305	0.1318	0.1338	0.1363	0.1097	0.0748	0.38883033	0.27589545	-0.09151136	0.047991265
55.5	10.5	77.94101173214747	29.798439298745055	0.0571	0.0574	0.0657	0.0551	0.0769	0.1144	0.1264	0.1318	0.1353	0.1363	0.1097	0.0731	0.41037986	0.2864812	-0.09151136	0.046434782
56.5	10.5	77.94110397184224	29.798439298745055	0.0571	0.0571	0.0673	0.0584	0.0769	0.1144	0.1264	0.1206	0.1353	0.1363	0.1097	0.0731	0.34748602	0.24522457	-0.047329564	0.052612223
57.5	10.5	77.94119621153702	29.798439298745055	0.0571	0.0556	0.0659	0.0575	0.0779	0.1146	0.1151	0.1213	0.1331	0.1363	0.1071	0.0699	0.35682324	0.26882845	-0.062171604	0.050981972
2.5	11.5	77.93612302832432	29.79834705905028	0.0629	0.0585	0.0761	0.0659	0.0973	0.1493	0.1611	0.1804	0.1674	0.1734	0.1227	0.0748	0.46488023	0.41379312	-0.19036622	0.0194638
3.5	11.5	77.9362152680191	29.79834705905028	0.0629	0.0597	0.0761	0.0667	0.0968	0.1478	0.1555	0.1706	0.1677	0.1734	0.122	0.0771	0.4378424	0.37747273	-0.16609704	0.026067143
4.5	11.5	77.93630750771386	29.79834705905028	0.0629	0.0583	0.0755	0.0653	0.0968	0.1478	0.1555	0.1694	0.1677	0.1734	0.122	0.0771	0.44354495	0.3744422	-0.16266301	0.025608456
5.5	11.5	77.93639974740864	29.79834705905028	0.063	0.0577	0.0738	0.0651	0.0908	0.1369	0.1462	0.1654	0.1564	0.1743	0.1189	0.0737	0.435141	0.38352153	-0.16355962	0.027410941
16.5	11.5	77.93741438405118	29.79834705905028	0.0656	0.0663	0.0866	0.0783	0.1093	0.1694	0.1837	0.2072	0.1881	0.1817	0.1552	0.1097	0.45148864	0.30766803	-0.14348786	0.010483755
17.5	11.5	77.93750662374596	29.79834705905028	0.0619	0.0641	0.0855	0.0701	0.0997	0.1726	0.1822	0.205	0.199	0.1786	0.1325	0.0861	0.4903671	0.40845072	-0.21481484	0.009943219
18.5	11.5	77.93759886344074	29.79834705905028	0.0619	0.0641	0.0855	0.0701	0.0997	0.1726	0.1822	0.205	0.199	0.1786	0.1325	0.0861	0.4903671	0.40845072	-0.21481484	0.009943219
51.5	11.5	77.94064277336837	29.79834705905028	0.0607	0.0611	0.0703	0.0619	0.0792	0.1148	0.123	0.1379	0.1253	0.1645	0.1041	0.0666	0.38038036	0.34865522	-0.13966942	0.04596747
52.5	11.5	77.94073501306313	29.79834705905028	0.0571	0.0607	0.068	0.0596	0.0814	0.1183	0.1305	0.1414	0.1338	0.1363	0.1097	0.0748	0.40696517	0.3080481	-0.1262445	0.04363254
53.5	11.5	77.94082725275791	29.79834705905028	0.0571	0.0572	0.0662	0.0598	0.0814	0.1183	0.1305	0.1337	0.1338	0.1363	0.1097	0.0748	0.38191214	0.282494	-0.09860311	0.04518129
54.5	11.5	77.9409194924527	29.79834705905028	0.0571	0.0586	0.068	0.0582	0.0769	0.1144	0.1264	0.1372	0.1353	0.1363	0.1097	0.0731	0.40429884	0.30480266	-0.11138111	0.044320922
55.5	11.5	77.94101173214747	29.79834705905028	0.0571	0.0586	0.068	0.0582	0.0769	0.1144	0.1264	0.1372	0.1353	0.1363	0.1097	0.0731	0.40429884	0.30480266	-0.11138111	0.044320922
56.5	11.5	77.94110397184224	29.79834705905028	0.0571	0.0547	0.0669	0.0574	0.0769	0.1144	0.1264	0.1237	0.1353	0.1363	0.1097	0.0731	0.36609608	0.2571138	-0.059982855	0.048868287
2.5	12.5	77.93612302832432	29.798254819355503	0.0629	0.0585	0.0796	0.0667	0.0973	0.1493	0.1611	0.1604	0.1674	0.1734	0.1227	0.0748	0.4125936	0.3639456	-0.1331685	0.030933797
3.5	12.5	77.9362152680191	29.798254819355503	0.0629	0.0639	0.08	0.0674	0.0968	0.1478	0.1555	0.1619	0.1677	0.1734	0.122	0.0771	0.41212386	0.3548117	-0.14054243	0.03449723
4.5	12.5	77.93630750771386	29.798254819355503	0.0629	0.06	0.0756	0.0668	0.0968	0.1478	0.1555	0.1612	0.1677	0.1734	0.122	0.0771	0.4140351	0.35291648	-0.13841808	0.031703796
16.5	12.5	77.93741438405118	29.798254819355503	0.0656	0.0717	0.0943	0.0946	0.1093	0.1694	0.1837	0.171	0.1881	0.1817	0.1552	0.1097	0.28765061	0.21838261	-0.048436537	0.03566814
17.5	12.5	77.93750662374596	29.798254819355503	0.0656	0.0663	0.0866	0.0799	0.1093	0.1694	0.1837	0.1882	0.1881	0.1817	0.1552	0.1097	0.40395376	0.26351124	-0.09609782	0.021380259
18.5	12.5	77.93759886344074	29.798254819355503	0.0656	0.0617	0.0803	0.0681	0.1093	0.1694	0.1837	0.2056	0.1881	0.1817	0.1552	0.1097	0.5023749	0.30415475	-0.13968955	0.007633045
52.5	12.5	77.94073501306313	29.798254819355503	0.0612	0.0601	0.0666	0.057	0.0794	0.1191	0.1281	0.1348	0.1377	0.1341	0.1072	0.0676	0.40563086	0.33201584	-0.114049606	0.04692612
53.5	12.5	77.94082725275791	29.798254819355503	0.0612	0.0592	0.0662	0.0593	0.0794	0.1191	0.1281	0.1382	0.1377	0.1341	0.1072	0.0676	0.39949366	0.34305152	-0.12632439	0.04423894
54.5	12.5	77.9409194924527	29.798254819355503	0.0612	0.0568	0.0692	0.0603	0.0771	0.1084	0.1212	0.1404	0.1218	0.1341	0.1084	0.0697	0.39910316	0.33650643	-0.12861738	0.041011155
55.5	12.5	77.94101173214747	29.798254819355503	0.0612	0.0568	0.0692	0.0603	0.0771	0.1084	0.1212	0.1404	0.1218	0.1341	0.1084	0.0697	0.39910316	0.33650643	-0.12861738	0.041011155
56.5	12.5	77.94110397184224	29.798254819355503	0.0612	0.058	0.068	0.0594	0.0771	0.1084	0.1212	0.1359	0.1218	0.1341	0.1084	0.0697	0.3917051	0.32198444	-0.11256653	0.044574946
2.5	13.5	77.93612302832432	29.798162579660726	0.0629	0.0606	0.079	0.0695	0.0935	0.139	0.1501	0.1594	0.1588	0.1734	0.1185	0.074	0.39274794	0.36589545	-0.14717524	0.03322762
3.5	13.5	77.9362152680191	29.798162579660726	0.0629	0.0602	0.0777	0.0663	0.0938	0.1379	0.1475	0.1589	0.1547	0.1734	0.1173	0.0713	0.41119006	0.38053864	-0.15061548	0.033186693
15.5	13.5	77.93732214435641	29.798162579660726	0.0656	0.0781	0.098	0.1096	0.1251	0.1375	0.1464	0.1532	0.1543	0.1817	0.1966	0.1831	0.16590564	-0.08890871	0.124070905	0.051119324
16.5	13.5	77.93741438405118	29.798162579660726	0.0656	0.0708	0.0835	0.0895	0.1068	0.1443	0.1521	0.1432	0.1644	0.1817	0.1476	0.112	0.2307692	0.122257024	0.0151306745	0.050874162
17.5	13.5	77.93750662374596	29.798162579660726	0.0656	0.0684	0.0838	0.0748	0.1068	0.1443	0.1521	0.1722	0.1644	0.1817	0.1476	0.112	0.39433196	0.21182263	-0.07692308	0.032276586
18.5	13.5	77.93759886344074	29.798162579660726	0.0656	0.0684	0.0838	0.0748	0.1068	0.1443	0.1521	0.1722	0.1644	0.1817	0.1476	0.112	0.39433196	0.21182263	-0.07692308	0.032276586
53.5	13.5	77.94082725275791	29.798162579660726	0.0612	0.0567	0.0686	0.059	0.0794	0.1191	0.1281	0.1332	0.1377	0.1341	0.1072	0.0676	0.3860562	0.32669327	-0.10815311	0.045058437
54.5	13.5	77.9409194924527	29.798162579660726	0.0612	0.0537	0.0651	0.0586	0.0771	0.1084	0.1212	0.1194	0.1218	0.1341	0.1084	0.0697	0.34157303	0.26282388	-0.04828797	0.050515138
