Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B11	B12	NDBI	NDVI
68.5	24.5	77.94221084817956	29.797147943018185	0.0973	0.1336	0.1554	0.173	0.1794	0.1887	0.192	0.2044	0.1977	0.2125	0.2069	0.2003	0.0060782824	0.08320087
69.5	24.5	77.94230308787434	29.797147943018185	0.0973	0.1208	0.1394	0.1588	0.1794	0.1887	0.192	0.1866	0.1977	0.2125	0.2069	0.2003	0.05158831	0.08048637
70.5	24.5	77.94239532756912	29.797147943018185	0.0986	0.1128	0.1346	0.1562	0.1848	0.1906	0.1965	0.1887	0.1984	0.2125	0.1991	0.2167	0.02681794	0.094230205
71.5	24.5	77.9424875672639	29.797147943018185	0.0986	0.1058	0.1252	0.145	0.1848	0.1906	0.1965	0.1969	0.1984	0.2125	0.1991	0.2167	0.0055555743	0.15179877
72.5	24.5	77.94257980695868	29.797147943018185	0.1001	0.0984	0.1156	0.1324	0.1721	0.1878	0.1912	0.1955	0.1979	0.209	0.1918	0.2087	-0.009553325	0.1924367
73.5	24.5	77.94267204665344	29.797147943018185	0.1001	0.093	0.1146	0.128	0.1721	0.1878	0.1912	0.1759	0.1979	0.209	0.1918	0.2087	0.043241777	0.15761761
74.5	24.5	77.94276428634822	29.797147943018185	0.1	0.1144	0.1276	0.1408	0.1691	0.1767	0.1868	0.1649	0.1773	0.2107	0.2009	0.1938	0.09841443	0.07883548
66.5	25.5	77.94202636879001	29.79705570332341	0.0977	0.1214	0.1466	0.1618	0.1754	0.1899	0.1974	0.198	0.202	0.2125	0.2159	0.1949	0.043247174	0.100611456
67.5	25.5	77.94211860848479	29.79705570332341	0.0977	0.1214	0.1466	0.1618	0.1754	0.1899	0.1974	0.198	0.202	0.2125	0.2159	0.1949	0.043247174	0.100611456
68.5	25.5	77.94221084817956	29.79705570332341	0.0973	0.1278	0.1452	0.163	0.1794	0.1887	0.192	0.1887	0.1977	0.2125	0.2069	0.2003	0.046006054	0.07307365
69.5	25.5	77.94230308787434	29.79705570332341	0.0973	0.118	0.14	0.155	0.1794	0.1887	0.192	0.1825	0.1977	0.2125	0.2069	0.2003	0.06266049	0.081481494
70.5	25.5	77.94239532756912	29.79705570332341	0.0986	0.1136	0.1408	0.1552	0.1848	0.1906	0.1965	0.1861	0.1984	0.2125	0.1991	0.2167	0.033748694	0.090536185
71.5	25.5	77.9424875672639	29.79705570332341	0.0986	0.1194	0.1414	0.1584	0.1848	0.1906	0.1965	0.1874	0.1984	0.2125	0.1991	0.2167	0.03027168	0.083863504
72.5	25.5	77.94257980695868	29.79705570332341	0.1001	0.1168	0.1396	0.1606	0.1721	0.1878	0.1912	0.2042	0.1979	0.209	0.1918	0.2087	-0.031313136	0.11951752
73.5	25.5	77.94267204665344	29.79705570332341	0.1001	0.1164	0.1326	0.1568	0.1721	0.1878	0.1912	0.2014	0.1979	0.209	0.1918	0.2087	-0.024415053	0.124511436
74.5	25.5	77.94276428634822	29.79705570332341	0.1008	0.0972	0.1144	0.1292	0.1502	0.165	0.1728	0.1598	0.1654	0.209	0.1817	0.188	0.06412888	0.10588235
66.5	26.5	77.94202636879001	29.796963463628632	0.0915	0.1064	0.14	0.1472	0.1711	0.1851	0.1939	0.1796	0.2045	0.2125	0.2059	0.176	0.06822308	0.0991432
67.5	26.5	77.94211860848479	29.796963463628632	0.0914	0.1192	0.1362	0.1506	0.1713	0.1898	0.2011	0.1781	0.2007	0.2125	0.2097	0.1885	0.081485294	0.08366293
68.5	26.5	77.94221084817956	29.796963463628632	0.0914	0.1192	0.1362	0.1506	0.1713	0.1898	0.2011	0.1781	0.2007	0.2125	0.2097	0.1885	0.081485294	0.08366293
69.5	26.5	77.94230308787434	29.796963463628632	0.0914	0.1174	0.1462	0.1598	0.1713	0.1898	0.2011	0.1924	0.2007	0.2125	0.2097	0.1885	0.04302415	0.09256105
70.5	26.5	77.94239532756912	29.796963463628632	0.0943	0.1238	0.1498	0.1732	0.1878	0.2038	0.2111	0.202	0.2219	0.2125	0.2212	0.208	0.04536861	0.07675909
71.5	26.5	77.9424875672639	29.796963463628632	0.0943	0.1314	0.1534	0.1732	0.1878	0.2038	0.2111	0.2074	0.2219	0.2125	0.2212	0.208	0.032197878	0.089858115
72.5	26.5	77.94257980695868	29.796963463628632	0.0981	0.1338	0.1562	0.1792	0.2002	0.2096	0.2167	0.2097	0.2187	0.209	0.2287	0.2221	0.0433394	0.07842635
73.5	26.5	77.94267204665344	29.796963463628632	0.0981	0.1282	0.1556	0.1742	0.2002	0.2096	0.2167	0.21	0.2187	0.209	0.2287	0.2221	0.04262595	0.09318063
67.5	27.5	77.94211860848479	29.796871223933856	0.0914	0.1032	0.1192	0.1376	0.1713	0.1898	0.2011	0.1711	0.2007	0.2125	0.2097	0.1885	0.10136554	0.1085196
68.5	27.5	77.94221084817956	29.796871223933856	0.0914	0.1032	0.1192	0.1376	0.1713	0.1898	0.2011	0.1711	0.2007	0.2125	0.2097	0.1885	0.10136554	0.1085196
69.5	27.5	77.94230308787434	29.796871223933856	0.0914	0.111	0.1372	0.1526	0.1713	0.1898	0.2011	0.2026	0.2007	0.2125	0.2097	0.1885	0.017220473	0.14076576
