,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
22,0.1081,0.151,0.1998,0.2486,0.2785,0.3025,0.311,0.309,0.3128,0.2621,0.3256,0.3022,0.02615823,0.10832134,1
23,0.1081,0.1604,0.2082,0.25,0.2785,0.3025,0.311,0.3108,0.3128,0.2621,0.3256,0.3022,0.023255834,0.10841653,1
24,0.1094,0.1596,0.1988,0.2384,0.2514,0.2568,0.2644,0.283,0.2799,0.227,0.297,0.2752,0.02413793,0.085538924,1
25,0.1094,0.1596,0.1988,0.2384,0.2514,0.2568,0.2644,0.283,0.2799,0.227,0.297,0.2752,0.02413793,0.085538924,1
26,0.1094,0.1684,0.1956,0.2278,0.2514,0.2568,0.2644,0.2689,0.2799,0.227,0.297,0.2752,0.04965539,0.08274615,1
27,0.1092,0.1224,0.1558,0.1654,0.1784,0.1943,0.2024,0.2154,0.2157,0.227,0.2313,0.2178,0.035594363,0.13130252,1
28,0.1092,0.1142,0.1334,0.159,0.1784,0.1943,0.2024,0.185,0.2157,0.227,0.2313,0.2178,0.11121786,0.07558142,1
29,0.1058,0.1188,0.138,0.1518,0.1888,0.2014,0.2055,0.1912,0.1996,0.227,0.2241,0.21,0.07921982,0.11486879,1
30,0.1058,0.1326,0.1592,0.1848,0.1888,0.2014,0.2055,0.2103,0.1996,0.227,0.2241,0.21,0.031767946,0.064540625,1
31,0.0998,0.152,0.1796,0.2096,0.1933,0.2137,0.2273,0.2332,0.2315,0.2107,0.2332,0.216,0.0,0.05329719,1
32,0.1081,0.1542,0.2096,0.2482,0.2785,0.3025,0.311,0.3212,0.3128,0.2621,0.3256,0.3022,0.0068026977,0.12820515,1
33,0.1081,0.1542,0.2078,0.252,0.2785,0.3025,0.311,0.3188,0.3128,0.2621,0.3256,0.3022,0.010552445,0.11702873,1
34,0.1094,0.1474,0.2022,0.2332,0.2514,0.2568,0.2644,0.2856,0.2799,0.227,0.297,0.2752,0.01956743,0.10100233,1
35,0.1094,0.1474,0.2022,0.2332,0.2514,0.2568,0.2644,0.2856,0.2799,0.227,0.297,0.2752,0.01956743,0.10100233,1
36,0.1094,0.151,0.1868,0.2094,0.2514,0.2568,0.2644,0.2461,0.2799,0.227,0.297,0.2752,0.093721226,0.080570795,1
