Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B11	B12	NDVI	NDBI	NDWI
17.5	9.5	78.08693492928386	29.905714063770098	0.0746	0.0914	0.1254	0.123	0.1657	0.2432	0.2676	0.3112	0.2848	0.2878	0.2346	0.1747	0.4334408	-0.14034446	-0.42556113
18.5	9.5	78.08702716897864	29.905714063770098	0.0746	0.0949	0.1106	0.122	0.1657	0.2432	0.2676	0.2587	0.2848	0.2878	0.2346	0.1747	0.3590754	-0.048854694	-0.401029
19.5	9.5	78.08711940867342	29.905714063770098	0.0746	0.0949	0.1106	0.122	0.1657	0.2432	0.2676	0.2587	0.2848	0.2878	0.2346	0.1747	0.3590754	-0.048854694	-0.401029
20.5	9.5	78.08721164836818	29.905714063770098	0.0743	0.1206	0.1456	0.1424	0.1605	0.2162	0.2351	0.2245	0.2482	0.2878	0.227	0.1735	0.2237667	0.005537093	-0.21318561
21.5	9.5	78.08730388806296	29.905714063770098	0.0743	0.1038	0.1314	0.138	0.1605	0.2162	0.2351	0.2378	0.2482	0.2878	0.227	0.1735	0.2655668	-0.023235809	-0.28819066
22.5	9.5	78.08739612775774	29.905714063770098	0.0716	0.1698	0.183	0.1846	0.1828	0.2323	0.2512	0.2471	0.2593	0.2679	0.238	0.1798	0.14477646	-0.018759	-0.14903511
23.5	9.5	78.08748836745252	29.905714063770098	0.0716	0.135	0.1694	0.1742	0.1828	0.2323	0.2512	0.2883	0.2593	0.2679	0.238	0.1798	0.24670272	-0.09557287	-0.25977713
95.5	9.5	78.09412962547643	29.905714063770098	0.0662	0.1486	0.1752	0.1934	0.1795	0.228	0.2464	0.2536	0.2637	0.2938	0.2231	0.1707	0.13467562	-0.063981526	-0.18283582
96.5	9.5	78.0942218651712	29.905714063770098	0.0741	0.1122	0.1448	0.154	0.173	0.2442	0.2628	0.2447	0.2798	0.2902	0.236	0.1811	0.22748934	-0.018098602	-0.25648263
97.5	9.5	78.09431410486597	29.905714063770098	0.0741	0.1032	0.1322	0.1306	0.173	0.2442	0.2628	0.2654	0.2798	0.2902	0.236	0.1811	0.340404	-0.0586358	-0.33501005
16.5	10.5	78.08684268958908	29.90562182407532	0.0723	0.0773	0.1182	0.108	0.1687	0.2401	0.2497	0.2952	0.271	0.2878	0.2247	0.1626	0.4642857	-0.13560298	-0.42815673
17.5	10.5	78.08693492928386	29.90562182407532	0.0746	0.0693	0.1116	0.0986	0.17	0.2614	0.2893	0.3196	0.3122	0.2878	0.2289	0.162	0.52845526	-0.16536005	-0.48237476
