,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
18,0.0494,0.0544,0.0638,0.0524,0.0756,0.1428,0.1645,0.1805,0.1749,0.1597,0.1079,0.0585,0.55002147,-0.2517337,1
19,0.0494,0.0593,0.0658,0.0525,0.0756,0.1428,0.1645,0.1685,0.1749,0.1597,0.1079,0.0585,0.5248869,-0.21924748,1
20,0.0494,0.0563,0.0638,0.0548,0.0759,0.1384,0.1599,0.149,0.17,0.1597,0.1091,0.0575,0.46221787,-0.15459126,1
21,0.0508,0.0571,0.0667,0.0526,0.0765,0.1489,0.1676,0.1735,0.1873,0.1611,0.1118,0.061,0.53471917,-0.21626359,1
22,0.0508,0.0554,0.0654,0.0511,0.0765,0.1489,0.1676,0.171,0.1873,0.1611,0.1118,0.061,0.5398469,-0.20933522,1
23,0.0494,0.0554,0.0645,0.0498,0.0756,0.1428,0.1645,0.1772,0.1749,0.1597,0.1079,0.0585,0.56123346,-0.24307261,1
24,0.0494,0.0542,0.0674,0.0526,0.0756,0.1428,0.1645,0.1742,0.1749,0.1597,0.1079,0.0585,0.5361552,-0.23502304,1
25,0.0494,0.0542,0.0674,0.0526,0.0756,0.1428,0.1645,0.1742,0.1749,0.1597,0.1079,0.0585,0.5361552,-0.23502304,1
26,0.0494,0.0521,0.0652,0.0535,0.0759,0.1384,0.1599,0.1705,0.17,0.1597,0.1091,0.0575,0.5223214,-0.21959943,1
27,0.0494,0.0527,0.0657,0.0539,0.0759,0.1384,0.1599,0.1727,0.17,0.1597,0.1091,0.0575,0.52427185,-0.22569199,1
28,0.0567,0.0573,0.0686,0.0597,0.0884,0.15,0.1654,0.1688,0.179,0.1432,0.1198,0.0682,0.4774617,-0.16978516,1
29,0.0567,0.0585,0.0778,0.0624,0.0884,0.15,0.1654,0.181,0.179,0.1432,0.1198,0.0682,0.48726377,-0.20345743,1
30,0.0536,0.0616,0.077,0.062,0.0917,0.1597,0.1839,0.1872,0.1926,0.1715,0.1257,0.072,0.5024077,-0.19654842,1
31,0.0536,0.0629,0.0721,0.0625,0.0917,0.1597,0.1839,0.1919,0.1926,0.1715,0.1257,0.072,0.5086478,-0.20843829,1
32,0.0536,0.0629,0.0721,0.0625,0.0917,0.1597,0.1839,0.1919,0.1926,0.1715,0.1257,0.072,0.5086478,-0.20843829,1
33,0.0536,0.0601,0.0728,0.0622,0.0917,0.1615,0.1807,0.1938,0.2005,0.1715,0.1251,0.0714,0.5140625,-0.21542804,1
34,0.0536,0.0585,0.0762,0.0625,0.0917,0.1615,0.1807,0.21,0.2005,0.1715,0.1251,0.0714,0.5412844,-0.25335717,1
35,0.0536,0.0592,0.0765,0.0631,0.0921,0.1533,0.1745,0.2054,0.1964,0.1715,0.1233,0.0746,0.5299814,-0.24977183,1
36,0.0536,0.0602,0.0765,0.0627,0.0921,0.1533,0.1745,0.176,0.1964,0.1715,0.1233,0.0746,0.47465435,-0.17607751,1
37,0.0551,0.0625,0.0762,0.067,0.0901,0.1542,0.1841,0.1804,0.1774,0.1864,0.1252,0.0786,0.45836702,-0.18062826,1
38,0.0551,0.0602,0.0752,0.0619,0.0901,0.1542,0.1841,0.2218,0.1774,0.1864,0.1252,0.0786,0.56362355,-0.27838615,1
39,0.0551,0.0618,0.0789,0.0705,0.1002,0.1533,0.1769,0.213,0.1869,0.1864,0.1273,0.0837,0.5026455,-0.25183663,1
40,0.0494,0.0531,0.0654,0.0526,0.0783,0.1638,0.1909,0.2281,0.2151,0.1597,0.1164,0.0642,0.6252227,-0.324238,1
41,0.0494,0.0554,0.067,0.0552,0.0783,0.1638,0.1909,0.1922,0.2151,0.1597,0.1164,0.0642,0.5537591,-0.2456254,1
42,0.0494,0.0569,0.0677,0.0578,0.073,0.1302,0.1463,0.1583,0.1606,0.1597,0.11,0.0685,0.46506247,-0.18002236,1
43,0.0567,0.0633,0.0735,0.0643,0.0884,0.15,0.1654,0.1819,0.179,0.1432,0.1198,0.0682,0.47766042,-0.20583358,1
44,0.0567,0.0602,0.0753,0.065,0.0884,0.15,0.1654,0.1872,0.179,0.1432,0.1198,0.0682,0.48453608,-0.21954395,1
45,0.0536,0.0614,0.0752,0.0638,0.0917,0.1597,0.1839,0.1958,0.1926,0.1715,0.1257,0.072,0.5084746,-0.21804047,1
46,0.0536,0.0619,0.0727,0.0648,0.0917,0.1597,0.1839,0.1975,0.1926,0.1715,0.1257,0.072,0.50590926,-0.22215348,1
47,0.0536,0.0619,0.0727,0.0648,0.0917,0.1597,0.1839,0.1975,0.1926,0.1715,0.1257,0.072,0.50590926,-0.22215348,1
48,0.0536,0.0589,0.0752,0.065,0.0917,0.1615,0.1807,0.1918,0.2005,0.1715,0.1251,0.0714,0.49376947,-0.21047647,1
49,0.0536,0.06,0.0762,0.0651,0.0917,0.1615,0.1807,0.1982,0.2005,0.1715,0.1251,0.0714,0.50550705,-0.22610578,1
50,0.0536,0.0614,0.0775,0.0641,0.0921,0.1533,0.1745,0.2086,0.1964,0.1715,0.1233,0.0746,0.52988636,-0.25700513,1
51,0.0536,0.06,0.0773,0.0669,0.0921,0.1533,0.1745,0.1738,0.1964,0.1715,0.1233,0.0746,0.44412133,-0.16997646,1
52,0.0551,0.0625,0.0765,0.0698,0.0901,0.1542,0.1841,0.1634,0.1774,0.1864,0.1252,0.0786,0.40137222,-0.1323631,1
53,0.0551,0.065,0.0785,0.0659,0.0901,0.1542,0.1841,0.1707,0.1774,0.1864,0.1252,0.0786,0.4429417,-0.15376815,1
54,0.0551,0.0628,0.0802,0.0705,0.1002,0.1533,0.1769,0.169,0.1869,0.1864,0.1273,0.0837,0.41127348,-0.14073576,1
55,0.0516,0.0533,0.0626,0.0533,0.0733,0.1208,0.1357,0.1465,0.1408,0.146,0.1069,0.0676,0.4664665,-0.15627469,1
56,0.0567,0.0619,0.0718,0.0624,0.0917,0.1513,0.167,0.181,0.1861,0.1432,0.1329,0.0836,0.48726377,-0.1532335,1
57,0.0567,0.0589,0.0749,0.0659,0.0917,0.1513,0.167,0.1816,0.1861,0.1432,0.1329,0.0836,0.46747476,-0.15484898,1
