Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B11	B12	NDVI	NDBI	NDWI
68.5	33.5	78.09163915371745	29.903500311095463	0.0604	0.0823	0.1108	0.122	0.1373	0.1517	0.1651	0.1752	0.1705	0.1871	0.2243	0.2084	0.17900403	0.12290362	-0.22517483
69.5	33.5	78.09173139341223	29.903500311095463	0.0604	0.0813	0.1096	0.1226	0.1373	0.1517	0.1651	0.1744	0.1705	0.1871	0.2243	0.2084	0.17441079	0.12515675	-0.22816902
70.5	33.5	78.09182363310701	29.903500311095463	0.0604	0.0868	0.1094	0.1232	0.1316	0.1536	0.1665	0.1758	0.1732	0.1871	0.2033	0.1817	0.17591973	0.07254024	-0.23281908
68.5	34.5	78.09163915371745	29.903408071400687	0.0604	0.0833	0.1106	0.1228	0.1373	0.1517	0.1651	0.1743	0.1705	0.1871	0.2243	0.2084	0.1733423	0.12543903	-0.22358721
69.5	34.5	78.09173139341223	29.903408071400687	0.0604	0.0872	0.109	0.1172	0.1373	0.1517	0.1651	0.1726	0.1705	0.1871	0.2243	0.2084	0.19116631	0.1302595	-0.22585228
68.5	35.5	78.09163915371745	29.90331583170591	0.0604	0.0839	0.1108	0.1206	0.1291	0.1591	0.1747	0.174	0.1823	0.1871	0.2063	0.184	0.18126272	0.084932975	-0.2219101
114.5	48.5	78.09588217967718	29.902116715673817	0.0779	0.0917	0.1106	0.1252	0.1436	0.1514	0.157	0.1595	0.1642	0.153	0.1812	0.1571	0.12047769	0.06369238	-0.18104406
113.5	49.5	78.0957899399824	29.90202447597904	0.0779	0.099	0.1094	0.1096	0.1184	0.1322	0.1361	0.1521	0.1467	0.153	0.167	0.1495	0.16239968	0.046693824	-0.16328873
114.5	49.5	78.09588217967718	29.90202447597904	0.0779	0.0982	0.1146	0.1228	0.1184	0.1322	0.1361	0.1551	0.1467	0.153	0.167	0.1495	0.11622887	0.036945026	-0.15016685
112.5	50.5	78.09569770028763	29.901932236284264	0.0779	0.0957	0.114	0.125	0.1318	0.1523	0.1635	0.1668	0.1722	0.153	0.1884	0.1667	0.14324883	0.06081079	-0.1880342
113.5	50.5	78.0957899399824	29.901932236284264	0.0779	0.0955	0.1108	0.1102	0.1184	0.1322	0.1361	0.1463	0.1467	0.153	0.167	0.1495	0.14074074	0.06607083	-0.13807859
114.5	50.5	78.09588217967718	29.901932236284264	0.0779	0.088	0.1032	0.1086	0.1184	0.1322	0.1361	0.1403	0.1467	0.153	0.167	0.1495	0.12736042	0.08688574	-0.1523614
111.5	51.5	78.09560546059285	29.901839996589487	0.081	0.083	0.0942	0.0998	0.1198	0.1379	0.1463	0.1576	0.1614	0.1388	0.1662	0.1396	0.22455324	0.026559595	-0.25178713
112.5	51.5	78.09569770028763	29.901839996589487	0.081	0.083	0.0942	0.0998	0.1198	0.1379	0.1463	0.1576	0.1614	0.1388	0.1662	0.1396	0.22455324	0.026559595	-0.25178713
113.5	51.5	78.0957899399824	29.901839996589487	0.081	0.0922	0.1008	0.0988	0.117	0.1288	0.1379	0.126	0.1366	0.1388	0.1588	0.1415	0.12099643	0.11516855	-0.11111112
114.5	51.5	78.09588217967718	29.901839996589487	0.081	0.0886	0.0982	0.1034	0.117	0.1288	0.1379	0.1312	0.1366	0.1388	0.1588	0.1415	0.11849958	0.09517243	-0.14385353
109.5	52.5	78.09542098120329	29.90174775689471	0.081	0.0855	0.1015	0.0954	0.1287	0.1571	0.1614	0.1361	0.1699	0.1388	0.1842	0.1528	0.17580992	0.15017174	-0.1456229
110.5	52.5	78.09551322089807	29.90174775689471	0.081	0.0805	0.0944	0.1013	0.1198	0.1379	0.1463	0.1592	0.1614	0.1388	0.1662	0.1396	0.22226486	0.021511983	-0.2555205
111.5	52.5	78.09560546059285	29.90174775689471	0.081	0.0786	0.0944	0.0927	0.1198	0.1379	0.1463	0.1602	0.1614	0.1388	0.1662	0.1396	0.26690394	0.018382344	-0.2584446
112.5	52.5	78.09569770028763	29.90174775689471	0.081	0.0914	0.1068	0.1112	0.117	0.1288	0.1379	0.1525	0.1366	0.1388	0.1588	0.1415	0.15661739	0.02023772	-0.17624375
113.5	52.5	78.0957899399824	29.90174775689471	0.081	0.0914	0.1068	0.1112	0.117	0.1288	0.1379	0.1525	0.1366	0.1388	0.1588	0.1415	0.15661739	0.02023772	-0.17624375
114.5	52.5	78.09588217967718	29.90174775689471	0.081	0.0983	0.114	0.12	0.117	0.1288	0.1379	0.1461	0.1366	0.1388	0.1588	0.1415	0.09808344	0.041653022	-0.12341407
108.5	53.5	78.09532874150852	29.901655517199934	0.081	0.0816	0.0963	0.103	0.1102	0.1277	0.1319	0.1404	0.1388	0.1388	0.1597	0.1376	0.15365656	0.06431189	-0.18631183
109.5	53.5	78.09542098120329	29.901655517199934	0.081	0.0901	0.1028	0.1016	0.1102	0.1277	0.1319	0.1312	0.1388	0.1388	0.1597	0.1376	0.12714778	0.09797183	-0.12136754
110.5	53.5	78.09551322089807	29.901655517199934	0.081	0.0983	0.1108	0.1278	0.118	0.1355	0.139	0.1522	0.1514	0.1388	0.1553	0.1337	0.08714284	0.010081326	-0.15741445
111.5	53.5	78.09560546059285	29.901655517199934	0.081	0.0938	0.109	0.108	0.118	0.1355	0.139	0.1476	0.1514	0.1388	0.1553	0.1337	0.15492955	0.025420967	-0.15042868
112.5	53.5	78.09569770028763	29.901655517199934	0.081	0.0957	0.1134	0.1166	0.1258	0.1398	0.1426	0.1761	0.1484	0.1388	0.1591	0.1416	0.20327981	-0.050716005	-0.21658033
113.5	53.5	78.0957899399824	29.901655517199934	0.081	0.0957	0.1134	0.1166	0.1258	0.1398	0.1426	0.1761	0.1484	0.1388	0.1591	0.1416	0.20327981	-0.050716005	-0.21658033
114.5	53.5	78.09588217967718	29.901655517199934	0.081	0.0982	0.1136	0.1216	0.1258	0.1398	0.1426	0.1556	0.1484	0.1388	0.1591	0.1416	0.1226551	0.011121702	-0.15601781
107.5	54.5	78.09523650181374	29.901563277505158	0.0765	0.0752	0.0876	0.0868	0.1131	0.1326	0.1469	0.1214	0.1484	0.1585	0.1703	0.1426	0.16618635	0.167638	-0.16172248
108.5	54.5	78.09532874150852	29.901563277505158	0.081	0.0722	0.0886	0.0927	0.1102	0.1277	0.1319	0.1368	0.1388	0.1388	0.1597	0.1376	0.1921569	0.0772344	-0.21384206
109.5	54.5	78.09542098120329	29.901563277505158	0.081	0.0805	0.0933	0.0977	0.1102	0.1277	0.1319	0.1534	0.1388	0.1388	0.1597	0.1376	0.22182399	0.020121373	-0.24361575
110.5	54.5	78.09551322089807	29.901563277505158	0.081	0.0917	0.1058	0.1098	0.118	0.1355	0.139	0.141	0.1514	0.1388	0.1553	0.1337	0.124401905	0.048261907	-0.1426256
111.5	54.5	78.09560546059285	29.901563277505158	0.081	0.083	0.0937	0.1042	0.118	0.1355	0.139	0.1404	0.1514	0.1388	0.1553	0.1337	0.14799677	0.050388902	-0.19948743
112.5	54.5	78.09569770028763	29.901563277505158	0.081	0.0843	0.0921	0.0991	0.1258	0.1398	0.1426	0.1394	0.1484	0.1388	0.1591	0.1416	0.16897276	0.06599662	-0.20431966
113.5	54.5	78.0957899399824	29.901563277505158	0.081	0.0843	0.0921	0.0991	0.1258	0.1398	0.1426	0.1394	0.1484	0.1388	0.1591	0.1416	0.16897276	0.06599662	-0.20431966
114.5	54.5	78.09588217967718	29.901563277505158	0.081	0.0922	0.1102	0.1144	0.1258	0.1398	0.1426	0.1392	0.1484	0.1388	0.1591	0.1416	0.097791806	0.066711344	-0.116279066
106.5	55.5	78.09514426211896	29.90147103781038	0.0765	0.0816	0.0987	0.1023	0.1314	0.1523	0.1542	0.141	0.1559	0.1585	0.1719	0.1493	0.15906288	0.0987536	-0.1764706
