Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B11	B12	NDVI	NDBI	NDWI
104.5	21.5	78.09495978272942	29.90460718743278	0.0536	0.0627	0.0773	0.0672	0.0925	0.1544	0.1804	0.2014	0.1954	0.1715	0.1277	0.0734	0.4996277	-0.22394408	-0.44528168
105.5	21.5	78.09505202242418	29.90460718743278	0.0536	0.0627	0.0773	0.0672	0.0925	0.1544	0.1804	0.2014	0.1954	0.1715	0.1277	0.0734	0.4996277	-0.22394408	-0.44528168
106.5	21.5	78.09514426211896	29.90460718743278	0.0536	0.0664	0.0775	0.0714	0.0925	0.1544	0.1804	0.1807	0.1954	0.1715	0.1277	0.0734	0.4335581	-0.17185473	-0.39969018
107.5	21.5	78.09523650181374	29.90460718743278	0.0536	0.0614	0.079	0.07	0.0964	0.1485	0.1629	0.1671	0.1783	0.1715	0.1301	0.0821	0.40953183	-0.12449529	-0.35798454
108.5	21.5	78.09532874150852	29.90460718743278	0.0536	0.0661	0.0807	0.0711	0.0964	0.1485	0.1629	0.1802	0.1783	0.1715	0.1301	0.0821	0.43414247	-0.16145666	-0.38137215
109.5	21.5	78.09542098120329	29.90460718743278	0.0551	0.0631	0.0833	0.0744	0.0985	0.1437	0.1577	0.178	0.1674	0.1864	0.1315	0.0841	0.4104596	-0.15024231	-0.36241868
110.5	21.5	78.09551322089807	29.90460718743278	0.0551	0.0628	0.0774	0.0719	0.0985	0.1437	0.1577	0.168	0.1674	0.1864	0.1315	0.0841	0.40058357	-0.12186976	-0.36919317
111.5	21.5	78.09560546059285	29.90460718743278	0.0551	0.0628	0.075	0.0688	0.0923	0.1339	0.1448	0.1571	0.1593	0.1864	0.1286	0.0843	0.3908809	-0.099755004	-0.35372683
100.5	22.5	78.09459082395031	29.904514947738004	0.0527	0.0629	0.0738	0.0661	0.0927	0.1406	0.1534	0.161	0.1694	0.1599	0.1363	0.0928	0.41787758	-0.08308107	-0.3713799
101.5	22.5	78.09468306364508	29.904514947738004	0.0527	0.0614	0.078	0.0726	0.0927	0.1406	0.1534	0.1664	0.1694	0.1599	0.1363	0.0928	0.39246863	-0.0994384	-0.3617021
102.5	22.5	78.09477530333986	29.904514947738004	0.0538	0.061	0.0797	0.072	0.0922	0.1525	0.1691	0.1816	0.1866	0.1596	0.1347	0.0789	0.43217668	-0.14827697	-0.38997322
103.5	22.5	78.09486754303464	29.904514947738004	0.0538	0.0602	0.0756	0.0646	0.0922	0.1525	0.1691	0.2025	0.1866	0.1596	0.1347	0.0789	0.5162861	-0.20106761	-0.4563107
104.5	22.5	78.09495978272942	29.904514947738004	0.0538	0.0602	0.073	0.0602	0.0906	0.1639	0.187	0.2066	0.209	0.1596	0.1266	0.0721	0.54872566	-0.24009603	-0.47782546
105.5	22.5	78.09505202242418	29.904514947738004	0.0538	0.0602	0.073	0.0602	0.0906	0.1639	0.187	0.2066	0.209	0.1596	0.1266	0.0721	0.54872566	-0.24009603	-0.47782546
106.5	22.5	78.09514426211896	29.904514947738004	0.0538	0.0621	0.0762	0.0599	0.0906	0.1639	0.187	0.1991	0.209	0.1596	0.1266	0.0721	0.53745174	-0.2225975	-0.4464221
107.5	22.5	78.09523650181374	29.904514947738004	0.0538	0.0618	0.0772	0.0666	0.0911	0.1518	0.1754	0.1798	0.1882	0.1596	0.129	0.0776	0.45941558	-0.1645078	-0.39922178
108.5	22.5	78.09532874150852	29.904514947738004	0.0538	0.0623	0.0766	0.0677	0.0911	0.1518	0.1754	0.1672	0.1882	0.1596	0.129	0.0776	0.42358452	-0.12896694	-0.37161607
109.5	22.5	78.09542098120329	29.904514947738004	0.0579	0.0637	0.0779	0.0692	0.0958	0.1389	0.1557	0.1594	0.1639	0.1604	0.1358	0.0855	0.3945757	-0.07994579	-0.34344712
110.5	22.5	78.09551322089807	29.904514947738004	0.0579	0.0646	0.0777	0.0695	0.0958	0.1389	0.1557	0.1667	0.1639	0.1604	0.1358	0.0855	0.41151568	-0.102148764	-0.36415714
111.5	22.5	78.09560546059285	29.904514947738004	0.0579	0.0653	0.0772	0.0719	0.0963	0.1347	0.1472	0.1588	0.1623	0.1604	0.1367	0.0911	0.37667966	-0.074788496	-0.3457627
100.5	23.5	78.09459082395031	29.904422708043228	0.0527	0.0627	0.0778	0.0694	0.0927	0.1406	0.1534	0.1594	0.1694	0.1599	0.1363	0.0928	0.39335665	-0.078119725	-0.3440135
101.5	23.5	78.09468306364508	29.904422708043228	0.0527	0.0614	0.0762	0.0688	0.0927	0.1406	0.1534	0.1614	0.1694	0.1599	0.1363	0.0928	0.4022589	-0.084313095	-0.35858586
102.5	23.5	78.09477530333986	29.904422708043228	0.0538	0.061	0.0752	0.0717	0.0922	0.1525	0.1691	0.1669	0.1866	0.1596	0.1347	0.0789	0.39899412	-0.10676391	-0.3787691
103.5	23.5	78.09486754303464	29.904422708043228	0.0538	0.0627	0.0753	0.062	0.0922	0.1525	0.1691	0.1837	0.1866	0.1596	0.1347	0.0789	0.4953195	-0.15389445	-0.41853282
104.5	23.5	78.09495978272942	29.904422708043228	0.0538	0.0579	0.0742	0.0597	0.0906	0.1639	0.187	0.2042	0.209	0.1596	0.1266	0.0721	0.54755586	-0.23458284	-0.46695405
105.5	23.5	78.09505202242418	29.904422708043228	0.0538	0.0579	0.0742	0.0597	0.0906	0.1639	0.187	0.2042	0.209	0.1596	0.1266	0.0721	0.54755586	-0.23458284	-0.46695405
106.5	23.5	78.09514426211896	29.904422708043228	0.0538	0.0587	0.075	0.0611	0.0906	0.1639	0.187	0.2242	0.209	0.1596	0.1266	0.0721	0.57167894	-0.27822122	-0.49866307
107.5	23.5	78.09523650181374	29.904422708043228	0.0538	0.0628	0.0738	0.0631	0.0911	0.1518	0.1754	0.2074	0.1882	0.1596	0.129	0.0776	0.53345656	-0.2330559	-0.4751067
108.5	23.5	78.09532874150852	29.904422708043228	0.0538	0.063	0.0738	0.0678	0.0911	0.1518	0.1754	0.1769	0.1882	0.1596	0.129	0.0776	0.44585207	-0.15658714	-0.4112485
109.5	23.5	78.09542098120329	29.904422708043228	0.0579	0.0609	0.0744	0.0672	0.0958	0.1389	0.1557	0.1584	0.1639	0.1604	0.1358	0.0855	0.40425533	-0.07681847	-0.36082473
110.5	23.5	78.09551322089807	29.904422708043228	0.0579	0.0619	0.0763	0.0706	0.0958	0.1389	0.1557	0.1648	0.1639	0.1604	0.1358	0.0855	0.4001699	-0.096473716	-0.3670676
111.5	23.5	78.09560546059285	29.904422708043228	0.0579	0.0638	0.0797	0.0758	0.0963	0.1347	0.1472	0.1622	0.1623	0.1604	0.1367	0.0911	0.36302522	-0.085312806	-0.34105003
100.5	24.5	78.09459082395031	29.90433046834845	0.0527	0.0614	0.0768	0.0692	0.0939	0.1435	0.1554	0.1684	0.1698	0.1599	0.1411	0.0958	0.41750842	-0.08820678	-0.3735726
101.5	24.5	78.09468306364508	29.90433046834845	0.0527	0.0614	0.076	0.0686	0.0939	0.1435	0.1554	0.1659	0.1698	0.1599	0.1411	0.0958	0.4149254	-0.080781765	-0.37164122
102.5	24.5	78.09477530333986	29.90433046834845	0.0538	0.0583	0.072	0.0697	0.0919	0.1432	0.1589	0.1616	0.1709	0.1596	0.1359	0.0889	0.39731947	-0.08638652	-0.38356164
103.5	24.5	78.09486754303464	29.90433046834845	0.0538	0.0583	0.076	0.0688	0.0919	0.1432	0.1589	0.1682	0.1709	0.1596	0.1359	0.0889	0.41940928	-0.106215045	-0.3775594
104.5	24.5	78.09495978272942	29.90433046834845	0.0538	0.0593	0.0766	0.0692	0.09	0.1586	0.1809	0.1902	0.202	0.1596	0.1271	0.0792	0.46646106	-0.19886541	-0.42578712
105.5	24.5	78.09505202242418	29.90433046834845	0.0538	0.0562	0.0735	0.0622	0.09	0.1586	0.1809	0.2236	0.202	0.1596	0.1271	0.0792	0.5647306	-0.27516395	-0.5052171
106.5	24.5	78.09514426211896	29.90433046834845	0.0538	0.0562	0.0735	0.0622	0.09	0.1586	0.1809	0.2236	0.202	0.1596	0.1271	0.0792	0.5647306	-0.27516395	-0.5052171
107.5	24.5	78.09523650181374	29.90433046834845	0.0538	0.0597	0.0727	0.0601	0.0883	0.1758	0.1976	0.217	0.2122	0.1596	0.1236	0.0703	0.5662216	-0.27422196	-0.49810147
108.5	24.5	78.09532874150852	29.90433046834845	0.0538	0.0615	0.075	0.0625	0.0883	0.1758	0.1976	0.2042	0.2122	0.1596	0.1236	0.0703	0.5313086	-0.24588163	-0.4627507
109.5	24.5	78.09542098120329	29.90433046834845	0.0579	0.0642	0.0764	0.0667	0.092	0.1591	0.1771	0.19	0.1962	0.1604	0.1355	0.0832	0.48032725	-0.1674347	-0.42642644
110.5	24.5	78.09551322089807	29.90433046834845	0.0579	0.0624	0.0766	0.0713	0.092	0.1591	0.1771	0.1644	0.1962	0.1604	0.1355	0.0832	0.39499363	-0.09636545	-0.36431533
111.5	24.5	78.09560546059285	29.90433046834845	0.0579	0.0614	0.0804	0.0726	0.0992	0.1417	0.149	0.161	0.1741	0.1604	0.1487	0.0985	0.37842464	-0.039715853	-0.33388567
100.5	25.5	78.09459082395031	29.904238228653675	0.0527	0.0628	0.0802	0.0736	0.0954	0.1483	0.1677	0.1815	0.1821	0.1599	0.1514	0.1008	0.42297137	-0.09041755	-0.38708445
101.5	25.5	78.09468306364508	29.904238228653675	0.0527	0.0608	0.0752	0.0711	0.0939	0.1435	0.1554	0.1729	0.1698	0.1599	0.1411	0.0958	0.41721314	-0.10127389	-0.39379284
102.5	25.5	78.09477530333986	29.904238228653675	0.0538	0.0604	0.0761	0.0703	0.0919	0.1432	0.1589	0.1614	0.1709	0.1596	0.1359	0.0889	0.39318088	-0.08577194	-0.35915792
103.5	25.5	78.09486754303464	29.904238228653675	0.0538	0.0641	0.0753	0.0705	0.0919	0.1432	0.1589	0.165	0.1709	0.1596	0.1359	0.0889	0.4012739	-0.09670987	-0.37328342
104.5	25.5	78.09495978272942	29.904238228653675	0.0538	0.0647	0.0785	0.071	0.09	0.1586	0.1809	0.1757	0.202	0.1596	0.1271	0.0792	0.4244021	-0.16050194	-0.38237604
105.5	25.5	78.09505202242418	29.904238228653675	0.0538	0.0569	0.0758	0.0639	0.09	0.1586	0.1809	0.1963	0.202	0.1596	0.1271	0.0792	0.50883937	-0.21397647	-0.44285187
106.5	25.5	78.09514426211896	29.904238228653675	0.0538	0.0569	0.0758	0.0639	0.09	0.1586	0.1809	0.1963	0.202	0.1596	0.1271	0.0792	0.50883937	-0.21397647	-0.44285187
107.5	25.5	78.09523650181374	29.904238228653675	0.0538	0.0582	0.0746	0.0606	0.0883	0.1758	0.1976	0.2172	0.2122	0.1596	0.1236	0.0703	0.56371486	-0.2746479	-0.48869085
108.5	25.5	78.09532874150852	29.904238228653675	0.0538	0.0514	0.0744	0.0608	0.0883	0.1758	0.1976	0.2264	0.2122	0.1596	0.1236	0.0703	0.5766017	-0.29371428	-0.5053192
109.5	25.5	78.09542098120329	29.904238228653675	0.0579	0.061	0.0746	0.0628	0.092	0.1591	0.1771	0.2248	0.1962	0.1604	0.1355	0.0832	0.5632824	-0.24784903	-0.50167
110.5	25.5	78.09551322089807	29.904238228653675	0.0579	0.0628	0.0768	0.0683	0.092	0.1591	0.1771	0.1886	0.1962	0.1604	0.1355	0.0832	0.4682756	-0.16383834	-0.42125094
111.5	25.5	78.09560546059285	29.904238228653675	0.0579	0.0659	0.0793	0.0739	0.0992	0.1417	0.149	0.166	0.1741	0.1604	0.1487	0.0985	0.38390994	-0.054972976	-0.35344473
26.5	36.5	78.08776508653685	29.903223592011134	0.0582	0.0662	0.0881	0.0733	0.1144	0.2144	0.2317	0.2494	0.2439	0.2427	0.1689	0.1153	0.5457081	-0.19244562	-0.47792593
